row_id,image_path_flat,image_path,attribute,caption_raw,caption_norm,panelist,session_date,year_folder,session_num,bimester,view,panel_slot,panel_replicate,dairy_id,product_code,caption_pre,dedup_key,drop_reason
10988,data/images_flat/2018-2019_Trentingrana__2019-02-06__P1a_302_fetta.bmp,data/TrentinGrana/2018-2019_Trentingrana/2019-02-06/P1a_302_fetta.bmp,Struttura della Pasta,Bella,Bella,TG_26,2019-02-06,2018-2019_Trentingrana,20,,Fetta,1,a,TN_302,C0A,Bella,Struttura della Pasta::bella,PURE_EVAL
11072,data/images_flat/2018-2019_Trentingrana__2019-02-06__P1b_302_fetta.bmp,data/TrentinGrana/2018-2019_Trentingrana/2019-02-06/P1b_302_fetta.bmp,Struttura della Pasta,Bella,Bella,TG_26,2019-02-06,2018-2019_Trentingrana,20,,Fetta,1,b,TN_302,C0A,Bella,Struttura della Pasta::bella,PURE_EVAL
22381,data/images_flat/2018-2019_Trentingrana__2018-10-10__P4a_313_fetta.bmp,data/TrentinGrana/2018-2019_Trentingrana/2018-10-10/P4a_313_fetta.bmp,Texture,buona,buona,TG_20,2018-10-10,2018-2019_Trentingrana,6,,Fetta,4,a,TN_313,C0H,buona,Texture::buona,PURE_EVAL
22472,data/images_flat/2018-2019_Trentingrana__2018-10-10__P4b_313_fetta.bmp,data/TrentinGrana/2018-2019_Trentingrana/2018-10-10/P4b_313_fetta.bmp,Texture,buona,buona,TG_20,2018-10-10,2018-2019_Trentingrana,6,,Fetta,4,b,TN_313,C0H,buona,Texture::buona,PURE_EVAL
23291,data/images_flat/2018-2019_Trentingrana__2018-10-10__P4a_313_grana.bmp,data/TrentinGrana/2018-2019_Trentingrana/2018-10-10/P4a_313_grana.bmp,Texture,buona,buona,TG_20,2018-10-10,2018-2019_Trentingrana,6,,Grana,4,a,TN_313,C0H,buona,Texture::buona,PURE_EVAL
23746,data/images_flat/2018-2019_Trentingrana__2018-10-10__P4b_313_grana.bmp,data/TrentinGrana/2018-2019_Trentingrana/2018-10-10/P4b_313_grana.bmp,Texture,buona,buona,TG_20,2018-10-10,2018-2019_Trentingrana,6,,Grana,4,b,TN_313,C0H,buona,Texture::buona,PURE_EVAL
26007,data/images_flat/2018-2019_Trentingrana__2018-10-31__P4a_311_grana.bmp,data/TrentinGrana/2018-2019_Trentingrana/2018-10-31/P4a_311_grana.bmp,Texture,scarsa,scarsa,Q_02,2018-10-31,2018-2019_Trentingrana,9,,Grana,4,a,TN_311,C0G,scarsa,Texture::scarsa,PURE_EVAL
26011,data/images_flat/2018-2019_Trentingrana__2018-10-31__P4a_311_grana.bmp,data/TrentinGrana/2018-2019_Trentingrana/2018-10-31/P4a_311_grana.bmp,Spessore della Crosta,Buono,Buono,TG_08,2018-10-31,2018-2019_Trentingrana,9,,Grana,4,a,TN_311,C0G,Buono,Spessore della Crosta::buono,PURE_EVAL
26026,data/images_flat/2018-2019_Trentingrana__2018-10-31__P4a_311_grana.bmp,data/TrentinGrana/2018-2019_Trentingrana/2018-10-31/P4a_311_grana.bmp,Struttura della Pasta,Bella,Bella,TG_19,2018-10-31,2018-2019_Trentingrana,9,,Grana,4,a,TN_311,C0G,Bella,Struttura della Pasta::bella,PURE_EVAL
26315,data/images_flat/2018-2019_Trentingrana__2018-10-31__P4b_311_grana.bmp,data/TrentinGrana/2018-2019_Trentingrana/2018-10-31/P4b_311_grana.bmp,Texture,scarsa,scarsa,Q_02,2018-10-31,2018-2019_Trentingrana,9,,Grana,4,b,TN_311,C0G,scarsa,Texture::scarsa,PURE_EVAL
26319,data/images_flat/2018-2019_Trentingrana__2018-10-31__P4b_311_grana.bmp,data/TrentinGrana/2018-2019_Trentingrana/2018-10-31/P4b_311_grana.bmp,Spessore della Crosta,Buono,Buono,TG_08,2018-10-31,2018-2019_Trentingrana,9,,Grana,4,b,TN_311,C0G,Buono,Spessore della Crosta::buono,PURE_EVAL
26334,data/images_flat/2018-2019_Trentingrana__2018-10-31__P4b_311_grana.bmp,data/TrentinGrana/2018-2019_Trentingrana/2018-10-31/P4b_311_grana.bmp,Struttura della Pasta,Bella,Bella,TG_19,2018-10-31,2018-2019_Trentingrana,9,,Grana,4,b,TN_311,C0G,Bella,Struttura della Pasta::bella,PURE_EVAL
27085,data/images_flat/2018-2019_Trentingrana__2018-10-31__P4a_311_fetta.bmp,data/TrentinGrana/2018-2019_Trentingrana/2018-10-31/P4a_311_fetta.bmp,Texture,scarsa,scarsa,Q_02,2018-10-31,2018-2019_Trentingrana,9,,Fetta,4,a,TN_311,C0G,scarsa,Texture::scarsa,PURE_EVAL
27089,data/images_flat/2018-2019_Trentingrana__2018-10-31__P4a_311_fetta.bmp,data/TrentinGrana/2018-2019_Trentingrana/2018-10-31/P4a_311_fetta.bmp,Spessore della Crosta,Buono,Buono,TG_08,2018-10-31,2018-2019_Trentingrana,9,,Fetta,4,a,TN_311,C0G,Buono,Spessore della Crosta::buono,PURE_EVAL
27104,data/images_flat/2018-2019_Trentingrana__2018-10-31__P4a_311_fetta.bmp,data/TrentinGrana/2018-2019_Trentingrana/2018-10-31/P4a_311_fetta.bmp,Struttura della Pasta,Bella,Bella,TG_19,2018-10-31,2018-2019_Trentingrana,9,,Fetta,4,a,TN_311,C0G,Bella,Struttura della Pasta::bella,PURE_EVAL
27239,data/images_flat/2018-2019_Trentingrana__2018-10-31__P4b_311_fetta.bmp,data/TrentinGrana/2018-2019_Trentingrana/2018-10-31/P4b_311_fetta.bmp,Texture,scarsa,scarsa,Q_02,2018-10-31,2018-2019_Trentingrana,9,,Fetta,4,b,TN_311,C0G,scarsa,Texture::scarsa,PURE_EVAL
27243,data/images_flat/2018-2019_Trentingrana__2018-10-31__P4b_311_fetta.bmp,data/TrentinGrana/2018-2019_Trentingrana/2018-10-31/P4b_311_fetta.bmp,Spessore della Crosta,Buono,Buono,TG_08,2018-10-31,2018-2019_Trentingrana,9,,Fetta,4,b,TN_311,C0G,Buono,Spessore della Crosta::buono,PURE_EVAL
27258,data/images_flat/2018-2019_Trentingrana__2018-10-31__P4b_311_fetta.bmp,data/TrentinGrana/2018-2019_Trentingrana/2018-10-31/P4b_311_fetta.bmp,Struttura della Pasta,Bella,Bella,TG_19,2018-10-31,2018-2019_Trentingrana,9,,Fetta,4,b,TN_311,C0G,Bella,Struttura della Pasta::bella,PURE_EVAL
32322,data/images_flat/2018-2019_Trentingrana__2018-12-05__P4a_313_fetta.bmp,data/TrentinGrana/2018-2019_Trentingrana/2018-12-05/P4a_313_fetta.bmp,Texture,"non  lo so, ho docuto sputarlo","non lo so, ho docuto sputarlo",TG_19,2018-12-05,2018-2019_Trentingrana,14,,Fetta,4,a,TN_313,C0H,"non lo so, ho docuto sputarlo",Texture::non lo so ho docuto sputarlo,SYSTEM_META
32476,data/images_flat/2018-2019_Trentingrana__2018-12-05__P4b_313_fetta.bmp,data/TrentinGrana/2018-2019_Trentingrana/2018-12-05/P4b_313_fetta.bmp,Texture,"non  lo so, ho docuto sputarlo","non lo so, ho docuto sputarlo",TG_19,2018-12-05,2018-2019_Trentingrana,14,,Fetta,4,b,TN_313,C0H,"non lo so, ho docuto sputarlo",Texture::non lo so ho docuto sputarlo,SYSTEM_META
33246,data/images_flat/2018-2019_Trentingrana__2018-12-05__P4a_313_grana.bmp,data/TrentinGrana/2018-2019_Trentingrana/2018-12-05/P4a_313_grana.bmp,Texture,"non  lo so, ho docuto sputarlo","non lo so, ho docuto sputarlo",TG_19,2018-12-05,2018-2019_Trentingrana,14,,Grana,4,a,TN_313,C0H,"non lo so, ho docuto sputarlo",Texture::non lo so ho docuto sputarlo,SYSTEM_META
33554,data/images_flat/2018-2019_Trentingrana__2018-12-05__P4b_313_grana.bmp,data/TrentinGrana/2018-2019_Trentingrana/2018-12-05/P4b_313_grana.bmp,Texture,"non  lo so, ho docuto sputarlo","non lo so, ho docuto sputarlo",TG_19,2018-12-05,2018-2019_Trentingrana,14,,Grana,4,b,TN_313,C0H,"non lo so, ho docuto sputarlo",Texture::non lo so ho docuto sputarlo,SYSTEM_META
35717,data/images_flat/2018-2019_Trentingrana__2018-09-19__P1a_302_grana.bmp,data/TrentinGrana/2018-2019_Trentingrana/2018-09-19/P1a_302_grana.bmp,Spessore della Crosta,Ok,Ok,TG_20,2018-09-19,2018-2019_Trentingrana,3,,Grana,1,a,TN_302,C0A,Ok,Spessore della Crosta::ok,PURE_EVAL
35737,data/images_flat/2018-2019_Trentingrana__2018-09-19__P1a_302_grana.bmp,data/TrentinGrana/2018-2019_Trentingrana/2018-09-19/P1a_302_grana.bmp,Colore della Pasta,Bello,Bello,TG_20,2018-09-19,2018-2019_Trentingrana,3,,Grana,1,a,TN_302,C0A,Bello,Colore della Pasta::bello,PURE_EVAL
36137,data/images_flat/2018-2019_Trentingrana__2018-09-19__P1b_302_grana.bmp,data/TrentinGrana/2018-2019_Trentingrana/2018-09-19/P1b_302_grana.bmp,Spessore della Crosta,Ok,Ok,TG_20,2018-09-19,2018-2019_Trentingrana,3,,Grana,1,b,TN_302,C0A,Ok,Spessore della Crosta::ok,PURE_EVAL
36157,data/images_flat/2018-2019_Trentingrana__2018-09-19__P1b_302_grana.bmp,data/TrentinGrana/2018-2019_Trentingrana/2018-09-19/P1b_302_grana.bmp,Colore della Pasta,Bello,Bello,TG_20,2018-09-19,2018-2019_Trentingrana,3,,Grana,1,b,TN_302,C0A,Bello,Colore della Pasta::bello,PURE_EVAL
36437,data/images_flat/2018-2019_Trentingrana__2018-09-19__P1a_302_fetta.bmp,data/TrentinGrana/2018-2019_Trentingrana/2018-09-19/P1a_302_fetta.bmp,Spessore della Crosta,Ok,Ok,TG_20,2018-09-19,2018-2019_Trentingrana,3,,Fetta,1,a,TN_302,C0A,Ok,Spessore della Crosta::ok,PURE_EVAL
36457,data/images_flat/2018-2019_Trentingrana__2018-09-19__P1a_302_fetta.bmp,data/TrentinGrana/2018-2019_Trentingrana/2018-09-19/P1a_302_fetta.bmp,Colore della Pasta,Bello,Bello,TG_20,2018-09-19,2018-2019_Trentingrana,3,,Fetta,1,a,TN_302,C0A,Bello,Colore della Pasta::bello,PURE_EVAL
36617,data/images_flat/2018-2019_Trentingrana__2018-09-19__P1b_302_fetta.bmp,data/TrentinGrana/2018-2019_Trentingrana/2018-09-19/P1b_302_fetta.bmp,Spessore della Crosta,Ok,Ok,TG_20,2018-09-19,2018-2019_Trentingrana,3,,Fetta,1,b,TN_302,C0A,Ok,Spessore della Crosta::ok,PURE_EVAL
36637,data/images_flat/2018-2019_Trentingrana__2018-09-19__P1b_302_fetta.bmp,data/TrentinGrana/2018-2019_Trentingrana/2018-09-19/P1b_302_fetta.bmp,Colore della Pasta,Bello,Bello,TG_20,2018-09-19,2018-2019_Trentingrana,3,,Fetta,1,b,TN_302,C0A,Bello,Colore della Pasta::bello,PURE_EVAL
36916,data/images_flat/2018-2019_Trentingrana__2018-09-26__P3a_306_fetta.bmp,data/TrentinGrana/2018-2019_Trentingrana/2018-09-26/P3a_306_fetta.bmp,Texture,DISCRETA,DISCRETA,TG_15,2018-09-26,2018-2019_Trentingrana,4,,Fetta,3,a,TN_306,C0D,DISCRETA,Texture::discreta,PURE_EVAL
37084,data/images_flat/2018-2019_Trentingrana__2018-09-26__P3b_306_fetta.bmp,data/TrentinGrana/2018-2019_Trentingrana/2018-09-26/P3b_306_fetta.bmp,Texture,DISCRETA,DISCRETA,TG_15,2018-09-26,2018-2019_Trentingrana,4,,Fetta,3,b,TN_306,C0D,DISCRETA,Texture::discreta,PURE_EVAL
38008,data/images_flat/2018-2019_Trentingrana__2018-09-26__P3a_306_grana.bmp,data/TrentinGrana/2018-2019_Trentingrana/2018-09-26/P3a_306_grana.bmp,Texture,DISCRETA,DISCRETA,TG_15,2018-09-26,2018-2019_Trentingrana,4,,Grana,3,a,TN_306,C0D,DISCRETA,Texture::discreta,PURE_EVAL
