row_id,image_path_flat,image_path,attribute,caption_raw,caption_norm,panelist,session_date,year_folder,session_num,bimester,view,panel_slot,panel_replicate,dairy_id,product_code,caption_pre,dedup_key
13,data/images_flat/2020-2021_Trentingrana__VI bimestre__27°Seduta_24-03-2021__P1_TN_302_519_A_GRANA.bmp,data/TrentinGrana/2020-2021_Trentingrana/VI bimestre/27°Seduta_24-03-2021/P1_TN_302_519_A_GRANA.bmp,Colore della Pasta,Solo leggero alone...,Solo leggero alone...,TG_24,2021-03-24,2020-2021_Trentingrana,27,VI,Grana,,,TN_302,C0A,Solo leggero alone...,Colore della Pasta::solo leggero alone
14,data/images_flat/2020-2021_Trentingrana__VI bimestre__27°Seduta_24-03-2021__P6_TN_328_412_B_FETTA.bmp,data/TrentinGrana/2020-2021_Trentingrana/VI bimestre/27°Seduta_24-03-2021/P6_TN_328_412_B_FETTA.bmp,Profumo,Al primo impatto non buono,Al primo impatto non buono,TG_24,2021-03-24,2020-2021_Trentingrana,27,VI,Fetta,,,TN_328,C0P,Al primo impatto non buono,Profumo::al primo impatto non buono
15,data/images_flat/2020-2021_Trentingrana__VI bimestre__27°Seduta_24-03-2021__P6_TN_328_412_B_FETTA.bmp,data/TrentinGrana/2020-2021_Trentingrana/VI bimestre/27°Seduta_24-03-2021/P6_TN_328_412_B_FETTA.bmp,Sapore,Anonimo poco intenso,Anonimo poco intenso,TG_24,2021-03-24,2020-2021_Trentingrana,27,VI,Fetta,,,TN_328,C0P,Anonimo poco intenso,Sapore::anonimo poco intenso
16,data/images_flat/2020-2021_Trentingrana__VI bimestre__27°Seduta_24-03-2021__P6_TN_328_412_B_FETTA.bmp,data/TrentinGrana/2020-2021_Trentingrana/VI bimestre/27°Seduta_24-03-2021/P6_TN_328_412_B_FETTA.bmp,Texture,Fastidioso in bocca,Fastidioso in bocca,TG_24,2021-03-24,2020-2021_Trentingrana,27,VI,Fetta,,,TN_328,C0P,Fastidioso in bocca,Texture::fastidioso in bocca
17,data/images_flat/2020-2021_Trentingrana__VI bimestre__27°Seduta_24-03-2021__P6_TN_328_412_B_FETTA.bmp,data/TrentinGrana/2020-2021_Trentingrana/VI bimestre/27°Seduta_24-03-2021/P6_TN_328_412_B_FETTA.bmp,Struttura della Pasta,Profonde fratture sotto 1piattone una grande da Sotto l'altro,Profonde fratture sotto 1piattone una grande da Sotto l'altro,Q_09,2021-03-24,2020-2021_Trentingrana,27,VI,Fetta,,,TN_328,C0P,Profonde fratture sotto 1piattone una grande da Sotto l'altro,Struttura della Pasta::profonde fratture sotto 1piattone una grande da sotto l'altro
18,data/images_flat/2020-2021_Trentingrana__VI bimestre__27°Seduta_24-03-2021__P6_TN_328_412_B_FETTA.bmp,data/TrentinGrana/2020-2021_Trentingrana/VI bimestre/27°Seduta_24-03-2021/P6_TN_328_412_B_FETTA.bmp,Struttura della Pasta,Fessure enormi,Fessure enormi,TG_12,2021-03-24,2020-2021_Trentingrana,27,VI,Fetta,,,TN_328,C0P,Fessure enormi,Struttura della Pasta::fessure enormi
19,data/images_flat/2020-2021_Trentingrana__VI bimestre__27°Seduta_24-03-2021__P6_TN_328_412_B_FETTA.bmp,data/TrentinGrana/2020-2021_Trentingrana/VI bimestre/27°Seduta_24-03-2021/P6_TN_328_412_B_FETTA.bmp,Struttura della Pasta,Tutta spaccata,Tutta spaccata,TG_14,2021-03-24,2020-2021_Trentingrana,27,VI,Fetta,,,TN_328,C0P,Tutta spaccata,Struttura della Pasta::tutta spaccata
20,data/images_flat/2020-2021_Trentingrana__VI bimestre__27°Seduta_24-03-2021__P6_TN_328_412_B_FETTA.bmp,data/TrentinGrana/2020-2021_Trentingrana/VI bimestre/27°Seduta_24-03-2021/P6_TN_328_412_B_FETTA.bmp,Struttura della Pasta,Fessure profonde!,Fessure profonde!,TG_24,2021-03-24,2020-2021_Trentingrana,27,VI,Fetta,,,TN_328,C0P,Fessure profonde!,Struttura della Pasta::fessure profonde
21,data/images_flat/2020-2021_Trentingrana__VI bimestre__27°Seduta_24-03-2021__P6_TN_328_412_B_FETTA.bmp,data/TrentinGrana/2020-2021_Trentingrana/VI bimestre/27°Seduta_24-03-2021/P6_TN_328_412_B_FETTA.bmp,Struttura della Pasta,Lunghe e profonde fessure longitudinali,Lunghe e profonde fessure longitudinali,TG_35,2021-03-24,2020-2021_Trentingrana,27,VI,Fetta,,,TN_328,C0P,Lunghe e profonde fessure longitudinali,Struttura della Pasta::lunghe e profonde fessure longitudinali
22,data/images_flat/2020-2021_Trentingrana__VI bimestre__27°Seduta_24-03-2021__P6_TN_328_412_B_FETTA.bmp,data/TrentinGrana/2020-2021_Trentingrana/VI bimestre/27°Seduta_24-03-2021/P6_TN_328_412_B_FETTA.bmp,Colore della Pasta,Aree non belle come colore,Aree non belle come colore,TG_24,2021-03-24,2020-2021_Trentingrana,27,VI,Fetta,,,TN_328,C0P,Aree non belle come colore,Colore della Pasta::aree non belle come colore
23,data/images_flat/2020-2021_Trentingrana__VI bimestre__27°Seduta_24-03-2021__P3_TN_307_155_B_FETTA.bmp,data/TrentinGrana/2020-2021_Trentingrana/VI bimestre/27°Seduta_24-03-2021/P3_TN_307_155_B_FETTA.bmp,Sapore,Poco espressivo,Poco espressivo,TG_24,2021-03-24,2020-2021_Trentingrana,27,VI,Fetta,,,TN_307,C0E,Poco espressivo,Sapore::poco espressivo
24,data/images_flat/2020-2021_Trentingrana__VI bimestre__27°Seduta_24-03-2021__P3_TN_307_155_B_FETTA.bmp,data/TrentinGrana/2020-2021_Trentingrana/VI bimestre/27°Seduta_24-03-2021/P3_TN_307_155_B_FETTA.bmp,Aroma,"Burro fresco, note lattiche prevalenti, poco complesso","Burro fresco, note lattiche prevalenti, poco complesso",TG_20,2021-03-24,2020-2021_Trentingrana,27,VI,Fetta,,,TN_307,C0E,"Burro fresco, note lattiche prevalenti, poco complesso",Aroma::burro fresco note lattiche prevalenti poco complesso
25,data/images_flat/2020-2021_Trentingrana__VI bimestre__27°Seduta_24-03-2021__P3_TN_307_155_B_FETTA.bmp,data/TrentinGrana/2020-2021_Trentingrana/VI bimestre/27°Seduta_24-03-2021/P3_TN_307_155_B_FETTA.bmp,Texture,Quasi troppi cristalli...,Quasi troppi cristalli...,TG_35,2021-03-24,2020-2021_Trentingrana,27,VI,Fetta,,,TN_307,C0E,Quasi troppi cristalli...,Texture::quasi troppi cristalli
26,data/images_flat/2020-2021_Trentingrana__VI bimestre__27°Seduta_24-03-2021__P3_TN_307_155_B_FETTA.bmp,data/TrentinGrana/2020-2021_Trentingrana/VI bimestre/27°Seduta_24-03-2021/P3_TN_307_155_B_FETTA.bmp,Struttura della Pasta,Tende a fare piccole scaglie,Tende a fare piccole scaglie,Q_09,2021-03-24,2020-2021_Trentingrana,27,VI,Fetta,,,TN_307,C0E,Tende a fare piccole scaglie,Struttura della Pasta::tende a fare piccole scaglie
27,data/images_flat/2020-2021_Trentingrana__VI bimestre__27°Seduta_24-03-2021__P3_TN_307_155_B_FETTA.bmp,data/TrentinGrana/2020-2021_Trentingrana/VI bimestre/27°Seduta_24-03-2021/P3_TN_307_155_B_FETTA.bmp,Struttura della Pasta,Grana di diversa granulosita,Grana di diversa granulosita,TG_19,2021-03-24,2020-2021_Trentingrana,27,VI,Fetta,,,TN_307,C0E,Grana di diversa granulosita,Struttura della Pasta::grana di diversa granulosita
28,data/images_flat/2020-2021_Trentingrana__VI bimestre__27°Seduta_24-03-2021__P3_TN_307_155_B_FETTA.bmp,data/TrentinGrana/2020-2021_Trentingrana/VI bimestre/27°Seduta_24-03-2021/P3_TN_307_155_B_FETTA.bmp,Struttura della Pasta,Peccato per irregolarità  di frattura,Peccato per irregolarità di frattura,TG_24,2021-03-24,2020-2021_Trentingrana,27,VI,Fetta,,,TN_307,C0E,Peccato per irregolarità di frattura,Struttura della Pasta::peccato per irregolarità di frattura
29,data/images_flat/2020-2021_Trentingrana__VI bimestre__27°Seduta_24-03-2021__P3_TN_307_155_B_FETTA.bmp,data/TrentinGrana/2020-2021_Trentingrana/VI bimestre/27°Seduta_24-03-2021/P3_TN_307_155_B_FETTA.bmp,Colore della Pasta,Leggero alone centrale,Leggero alone centrale,TG_14,2021-03-24,2020-2021_Trentingrana,27,VI,Fetta,,,TN_307,C0E,Leggero alone centrale,Colore della Pasta::leggero alone centrale
30,data/images_flat/2020-2021_Trentingrana__VI bimestre__27°Seduta_24-03-2021__P4_TN_311_873_A_FETTA.bmp,data/TrentinGrana/2020-2021_Trentingrana/VI bimestre/27°Seduta_24-03-2021/P4_TN_311_873_A_FETTA.bmp,Sapore,Bella persistenza,Bella persistenza,TG_24,2021-03-24,2020-2021_Trentingrana,27,VI,Fetta,,,TN_311,C0G,Bella persistenza,Sapore::bella persistenza
31,data/images_flat/2020-2021_Trentingrana__VI bimestre__27°Seduta_24-03-2021__P4_TN_311_873_A_FETTA.bmp,data/TrentinGrana/2020-2021_Trentingrana/VI bimestre/27°Seduta_24-03-2021/P4_TN_311_873_A_FETTA.bmp,Aroma,Sembra grana abbastanza giovane,Sembra grana abbastanza giovane,TG_14,2021-03-24,2020-2021_Trentingrana,27,VI,Fetta,,,TN_311,C0G,Sembra grana abbastanza giovane,Aroma::sembra grana abbastanza giovane
32,data/images_flat/2020-2021_Trentingrana__VI bimestre__27°Seduta_24-03-2021__P4_TN_311_873_A_FETTA.bmp,data/TrentinGrana/2020-2021_Trentingrana/VI bimestre/27°Seduta_24-03-2021/P4_TN_311_873_A_FETTA.bmp,Spessore della Crosta,Omogeneo,Omogeneo,TG_19,2021-03-24,2020-2021_Trentingrana,27,VI,Fetta,,,TN_311,C0G,Omogeneo,Spessore della Crosta::omogeneo
33,data/images_flat/2020-2021_Trentingrana__VI bimestre__27°Seduta_24-03-2021__P4_TN_311_873_A_FETTA.bmp,data/TrentinGrana/2020-2021_Trentingrana/VI bimestre/27°Seduta_24-03-2021/P4_TN_311_873_A_FETTA.bmp,Spessore della Crosta,Però  crosta fine,Però crosta fine,TG_24,2021-03-24,2020-2021_Trentingrana,27,VI,Fetta,,,TN_311,C0G,Però crosta fine,Spessore della Crosta::però crosta fine
34,data/images_flat/2020-2021_Trentingrana__VI bimestre__27°Seduta_24-03-2021__P4_TN_311_873_A_FETTA.bmp,data/TrentinGrana/2020-2021_Trentingrana/VI bimestre/27°Seduta_24-03-2021/P4_TN_311_873_A_FETTA.bmp,Struttura della Pasta,In centro più fine,In centro più fine,Q_09,2021-03-24,2020-2021_Trentingrana,27,VI,Fetta,,,TN_311,C0G,In centro più fine,Struttura della Pasta::in centro più fine
35,data/images_flat/2020-2021_Trentingrana__VI bimestre__27°Seduta_24-03-2021__P4_TN_311_873_A_FETTA.bmp,data/TrentinGrana/2020-2021_Trentingrana/VI bimestre/27°Seduta_24-03-2021/P4_TN_311_873_A_FETTA.bmp,Struttura della Pasta,Bella anche abbastanza  regolare,Bella anche abbastanza regolare,TG_24,2021-03-24,2020-2021_Trentingrana,27,VI,Fetta,,,TN_311,C0G,Bella anche abbastanza regolare,Struttura della Pasta::bella anche abbastanza regolare
36,data/images_flat/2020-2021_Trentingrana__VI bimestre__27°Seduta_24-03-2021__P4_TN_311_873_A_FETTA.bmp,data/TrentinGrana/2020-2021_Trentingrana/VI bimestre/27°Seduta_24-03-2021/P4_TN_311_873_A_FETTA.bmp,Colore della Pasta,Leggero alone centrale,Leggero alone centrale,TG_13,2021-03-24,2020-2021_Trentingrana,27,VI,Fetta,,,TN_311,C0G,Leggero alone centrale,Colore della Pasta::leggero alone centrale
37,data/images_flat/2020-2021_Trentingrana__VI bimestre__27°Seduta_24-03-2021__P4_TN_311_873_A_FETTA.bmp,data/TrentinGrana/2020-2021_Trentingrana/VI bimestre/27°Seduta_24-03-2021/P4_TN_311_873_A_FETTA.bmp,Colore della Pasta,Alone molto grande,Alone molto grande,TG_19,2021-03-24,2020-2021_Trentingrana,27,VI,Fetta,,,TN_311,C0G,Alone molto grande,Colore della Pasta::alone molto grande
38,data/images_flat/2020-2021_Trentingrana__VI bimestre__27°Seduta_24-03-2021__P5_TN_319_691_B_GRANA.bmp,data/TrentinGrana/2020-2021_Trentingrana/VI bimestre/27°Seduta_24-03-2021/P5_TN_319_691_B_GRANA.bmp,Profumo,Forte,Forte,TG_14,2021-03-24,2020-2021_Trentingrana,27,VI,Grana,,,TN_319,C0M,Forte,Profumo::forte
39,data/images_flat/2020-2021_Trentingrana__VI bimestre__27°Seduta_24-03-2021__P5_TN_319_691_B_GRANA.bmp,data/TrentinGrana/2020-2021_Trentingrana/VI bimestre/27°Seduta_24-03-2021/P5_TN_319_691_B_GRANA.bmp,Profumo,Odore chimico tipo colpa o simili,Odore chimico tipo colpa o simili,TG_19,2021-03-24,2020-2021_Trentingrana,27,VI,Grana,,,TN_319,C0M,Odore chimico tipo colpa o simili,Profumo::odore chimico tipo colpa o simili
40,data/images_flat/2020-2021_Trentingrana__VI bimestre__27°Seduta_24-03-2021__P5_TN_319_691_B_GRANA.bmp,data/TrentinGrana/2020-2021_Trentingrana/VI bimestre/27°Seduta_24-03-2021/P5_TN_319_691_B_GRANA.bmp,Profumo,Polvere,Polvere,TG_24,2021-03-24,2020-2021_Trentingrana,27,VI,Grana,,,TN_319,C0M,Polvere,Profumo::polvere
41,data/images_flat/2020-2021_Trentingrana__VI bimestre__27°Seduta_24-03-2021__P5_TN_319_691_B_GRANA.bmp,data/TrentinGrana/2020-2021_Trentingrana/VI bimestre/27°Seduta_24-03-2021/P5_TN_319_691_B_GRANA.bmp,Profumo,Banana verde,Banana verde,TG_35,2021-03-24,2020-2021_Trentingrana,27,VI,Grana,,,TN_319,C0M,Banana verde,Profumo::banana verde
42,data/images_flat/2020-2021_Trentingrana__VI bimestre__27°Seduta_24-03-2021__P5_TN_319_691_B_GRANA.bmp,data/TrentinGrana/2020-2021_Trentingrana/VI bimestre/27°Seduta_24-03-2021/P5_TN_319_691_B_GRANA.bmp,Aroma,Sa di malga,Sa di malga,TG_13,2021-03-24,2020-2021_Trentingrana,27,VI,Grana,,,TN_319,C0M,Sa di malga,Aroma::sa di malga
43,data/images_flat/2020-2021_Trentingrana__VI bimestre__27°Seduta_24-03-2021__P5_TN_319_691_B_GRANA.bmp,data/TrentinGrana/2020-2021_Trentingrana/VI bimestre/27°Seduta_24-03-2021/P5_TN_319_691_B_GRANA.bmp,Aroma,Non piacevole con persistenza elevata,Non piacevole con persistenza elevata,TG_24,2021-03-24,2020-2021_Trentingrana,27,VI,Grana,,,TN_319,C0M,Non piacevole con persistenza elevata,Aroma::non piacevole con persistenza elevata
44,data/images_flat/2020-2021_Trentingrana__VI bimestre__27°Seduta_24-03-2021__P5_TN_319_691_B_GRANA.bmp,data/TrentinGrana/2020-2021_Trentingrana/VI bimestre/27°Seduta_24-03-2021/P5_TN_319_691_B_GRANA.bmp,Texture,Consistenza strana,Consistenza strana,TG_24,2021-03-24,2020-2021_Trentingrana,27,VI,Grana,,,TN_319,C0M,Consistenza strana,Texture::consistenza strana
45,data/images_flat/2020-2021_Trentingrana__VI bimestre__27°Seduta_24-03-2021__P5_TN_319_691_B_GRANA.bmp,data/TrentinGrana/2020-2021_Trentingrana/VI bimestre/27°Seduta_24-03-2021/P5_TN_319_691_B_GRANA.bmp,Spessore della Crosta,Alone disidratato Sotto crosta confonde,Alone disidratato Sotto crosta confonde,Q_09,2021-03-24,2020-2021_Trentingrana,27,VI,Grana,,,TN_319,C0M,Alone disidratato Sotto crosta confonde,Spessore della Crosta::alone disidratato sotto crosta confonde
46,data/images_flat/2020-2021_Trentingrana__VI bimestre__27°Seduta_24-03-2021__P5_TN_319_691_B_GRANA.bmp,data/TrentinGrana/2020-2021_Trentingrana/VI bimestre/27°Seduta_24-03-2021/P5_TN_319_691_B_GRANA.bmp,Struttura della Pasta,Forse il voto dato va diminuito di 1!,Forse il voto dato va diminuito di 1!,TG_24,2021-03-24,2020-2021_Trentingrana,27,VI,Grana,,,TN_319,C0M,Forse il voto dato va diminuito di 1!,Struttura della Pasta::forse il voto dato va diminuito di 1
47,data/images_flat/2020-2021_Trentingrana__VI bimestre__27°Seduta_24-03-2021__P5_TN_319_691_B_GRANA.bmp,data/TrentinGrana/2020-2021_Trentingrana/VI bimestre/27°Seduta_24-03-2021/P5_TN_319_691_B_GRANA.bmp,Struttura della Pasta,"Piccoli occhi misti a un micro Occhiatura diffusa, fessure di circa 3-4cm","Piccoli occhi misti a un micro Occhiatura diffusa, fessure di circa 3-4cm",TG_35,2021-03-24,2020-2021_Trentingrana,27,VI,Grana,,,TN_319,C0M,"Piccoli occhi misti a un micro Occhiatura diffusa, fessure di circa 3-4cm",Struttura della Pasta::piccoli occhi misti a un micro occhiatura diffusa fessure di circa 3 4cm
48,data/images_flat/2020-2021_Trentingrana__VI bimestre__27°Seduta_24-03-2021__P1_TN_302_519_B_FETTA.bmp,data/TrentinGrana/2020-2021_Trentingrana/VI bimestre/27°Seduta_24-03-2021/P1_TN_302_519_B_FETTA.bmp,Sapore,Leggermente acido,Leggermente acido,TG_14,2021-03-24,2020-2021_Trentingrana,27,VI,Fetta,,,TN_302,C0A,Leggermente acido,Sapore::leggermente acido
49,data/images_flat/2020-2021_Trentingrana__VI bimestre__27°Seduta_24-03-2021__P1_TN_302_519_B_FETTA.bmp,data/TrentinGrana/2020-2021_Trentingrana/VI bimestre/27°Seduta_24-03-2021/P1_TN_302_519_B_FETTA.bmp,Struttura della Pasta,Effetto a scaglie in alcune zone,Effetto a scaglie in alcune zone,Q_09,2021-03-24,2020-2021_Trentingrana,27,VI,Fetta,,,TN_302,C0A,Effetto a scaglie in alcune zone,Struttura della Pasta::effetto a scaglie in alcune zone
50,data/images_flat/2020-2021_Trentingrana__VI bimestre__27°Seduta_24-03-2021__P1_TN_302_519_B_FETTA.bmp,data/TrentinGrana/2020-2021_Trentingrana/VI bimestre/27°Seduta_24-03-2021/P1_TN_302_519_B_FETTA.bmp,Struttura della Pasta,Impercettibile micro Occhiatura centrale,Impercettibile micro Occhiatura centrale,TG_35,2021-03-24,2020-2021_Trentingrana,27,VI,Fetta,,,TN_302,C0A,Impercettibile micro Occhiatura centrale,Struttura della Pasta::impercettibile micro occhiatura centrale
51,data/images_flat/2020-2021_Trentingrana__VI bimestre__27°Seduta_24-03-2021__P1_TN_302_519_B_FETTA.bmp,data/TrentinGrana/2020-2021_Trentingrana/VI bimestre/27°Seduta_24-03-2021/P1_TN_302_519_B_FETTA.bmp,Colore della Pasta,Solo leggero alone...,Solo leggero alone...,TG_24,2021-03-24,2020-2021_Trentingrana,27,VI,Fetta,,,TN_302,C0A,Solo leggero alone...,Colore della Pasta::solo leggero alone
52,data/images_flat/2020-2021_Trentingrana__VI bimestre__27°Seduta_24-03-2021__P3_TN_307_155_A_GRANA.bmp,data/TrentinGrana/2020-2021_Trentingrana/VI bimestre/27°Seduta_24-03-2021/P3_TN_307_155_A_GRANA.bmp,Sapore,Poco espressivo,Poco espressivo,TG_24,2021-03-24,2020-2021_Trentingrana,27,VI,Grana,,,TN_307,C0E,Poco espressivo,Sapore::poco espressivo
53,data/images_flat/2020-2021_Trentingrana__VI bimestre__27°Seduta_24-03-2021__P3_TN_307_155_A_GRANA.bmp,data/TrentinGrana/2020-2021_Trentingrana/VI bimestre/27°Seduta_24-03-2021/P3_TN_307_155_A_GRANA.bmp,Aroma,"Burro fresco, note lattiche prevalenti, poco complesso","Burro fresco, note lattiche prevalenti, poco complesso",TG_20,2021-03-24,2020-2021_Trentingrana,27,VI,Grana,,,TN_307,C0E,"Burro fresco, note lattiche prevalenti, poco complesso",Aroma::burro fresco note lattiche prevalenti poco complesso
54,data/images_flat/2020-2021_Trentingrana__VI bimestre__27°Seduta_24-03-2021__P3_TN_307_155_A_GRANA.bmp,data/TrentinGrana/2020-2021_Trentingrana/VI bimestre/27°Seduta_24-03-2021/P3_TN_307_155_A_GRANA.bmp,Texture,Quasi troppi cristalli...,Quasi troppi cristalli...,TG_35,2021-03-24,2020-2021_Trentingrana,27,VI,Grana,,,TN_307,C0E,Quasi troppi cristalli...,Texture::quasi troppi cristalli
55,data/images_flat/2020-2021_Trentingrana__VI bimestre__27°Seduta_24-03-2021__P3_TN_307_155_A_GRANA.bmp,data/TrentinGrana/2020-2021_Trentingrana/VI bimestre/27°Seduta_24-03-2021/P3_TN_307_155_A_GRANA.bmp,Struttura della Pasta,Tende a fare piccole scaglie,Tende a fare piccole scaglie,Q_09,2021-03-24,2020-2021_Trentingrana,27,VI,Grana,,,TN_307,C0E,Tende a fare piccole scaglie,Struttura della Pasta::tende a fare piccole scaglie
56,data/images_flat/2020-2021_Trentingrana__VI bimestre__27°Seduta_24-03-2021__P3_TN_307_155_A_GRANA.bmp,data/TrentinGrana/2020-2021_Trentingrana/VI bimestre/27°Seduta_24-03-2021/P3_TN_307_155_A_GRANA.bmp,Struttura della Pasta,Grana di diversa granulosita,Grana di diversa granulosita,TG_19,2021-03-24,2020-2021_Trentingrana,27,VI,Grana,,,TN_307,C0E,Grana di diversa granulosita,Struttura della Pasta::grana di diversa granulosita
57,data/images_flat/2020-2021_Trentingrana__VI bimestre__27°Seduta_24-03-2021__P3_TN_307_155_A_GRANA.bmp,data/TrentinGrana/2020-2021_Trentingrana/VI bimestre/27°Seduta_24-03-2021/P3_TN_307_155_A_GRANA.bmp,Struttura della Pasta,Peccato per irregolarità  di frattura,Peccato per irregolarità di frattura,TG_24,2021-03-24,2020-2021_Trentingrana,27,VI,Grana,,,TN_307,C0E,Peccato per irregolarità di frattura,Struttura della Pasta::peccato per irregolarità di frattura
