image_path,attribute,caption,caption_sentence
data/images_flat/2020-2021_Trentingrana__VI bimestre__26°Seduta_17-03-2021__P6_TN_338_214_GRANA_A.bmp,Spessore della Crosta,Crosta con sottocrosta di colore diverso: rossastra sotto lo scalzo e grigiastra sotto le parti piatte.,La crosta del formaggio presenta una sottocrosta di colore diverso: rossastra sotto lo scalzo e grigiastra sotto le parti piatte.
data/images_flat/2020-2021_Trentingrana__VI bimestre__26°Seduta_17-03-2021__P1_TN_305_512_GRANA_B.bmp,Spessore della Crosta,Crosta con sottocrosta meno carica sulla parte piatta.,La crosta del formaggio presenta una sottocrosta meno carica sulla parte piatta.
data/images_flat/2020-2021_Trentingrana__VI bimestre__26°Seduta_17-03-2021__P1_TN_305_512_GRANA_A.bmp,Spessore della Crosta,Crosta con sottocrosta meno carica sulla parte piatta.,La crosta del formaggio presenta una sottocrosta meno carica sulla parte piatta.
data/images_flat/2020-2021_Trentingrana__VI bimestre__26°Seduta_17-03-2021__P1_TN_305_512_FETTA_B.bmp,Spessore della Crosta,Crosta con sottocrosta meno carica sulla parte piatta.,La crosta del formaggio presenta una sottocrosta meno carica sulla parte piatta.
data/images_flat/2020-2021_Trentingrana__VI bimestre__26°Seduta_17-03-2021__P1_TN_305_512_FETTA_A.bmp,Spessore della Crosta,Crosta con sottocrosta meno carica sulla parte piatta.,La crosta del formaggio presenta una sottocrosta meno carica sulla parte piatta.
data/images_flat/2020-2021_Trentingrana__VI bimestre__26°Seduta_17-03-2021__P6_TN_338_214_FETTA_B.bmp,Spessore della Crosta,Crosta con sottocrosta di colore diverso: rossastra sotto lo scalzo e grigiastra sotto le parti piatte.,La crosta del formaggio presenta una sottocrosta di colore diverso: rossastra sotto lo scalzo e grigiastra sotto le parti piatte.
data/images_flat/2020-2021_Trentingrana__VI bimestre__26°Seduta_17-03-2021__P6_TN_338_214_FETTA_A.bmp,Spessore della Crosta,Crosta con sottocrosta di colore diverso: rossastra sotto lo scalzo e grigiastra sotto le parti piatte.,La crosta del formaggio presenta una sottocrosta di colore diverso: rossastra sotto lo scalzo e grigiastra sotto le parti piatte.
data/images_flat/2020-2021_Trentingrana__VI bimestre__26°Seduta_17-03-2021__P2_TN_310_437_GRANA_A.bmp,Spessore della Crosta,"Crosta di spessore non eccessivo nella parte piatta, con colore molto carico tendente al marrone rossiccio.","La crosta del formaggio è di spessore non eccessivo nella parte piatta, con colore molto carico tendente al marrone rossiccio."
data/images_flat/2020-2021_Trentingrana__VI bimestre__26°Seduta_17-03-2021__P2_TN_310_437_GRANA_B.bmp,Spessore della Crosta,"Crosta di spessore non eccessivo nella parte piatta, con colore molto carico tendente al marrone rossiccio.","La crosta del formaggio è di spessore non eccessivo nella parte piatta, con colore molto carico tendente al marrone rossiccio."
data/images_flat/2020-2021_Trentingrana__VI bimestre__26°Seduta_17-03-2021__Cambio colore grana__P2_TN_310_437_GRANA_B_2.bmp,Spessore della Crosta,"Crosta di spessore non eccessivo nella parte piatta, con colore molto carico tendente al marrone rossiccio.","La crosta del formaggio è di spessore non eccessivo nella parte piatta, con colore molto carico tendente al marrone rossiccio."
data/images_flat/2020-2021_Trentingrana__VI bimestre__26°Seduta_17-03-2021__Cambio colore grana__P2_TN_310_437_GRANA_B_1.bmp,Spessore della Crosta,"Crosta di spessore non eccessivo nella parte piatta, con colore molto carico tendente al marrone rossiccio.","La crosta del formaggio è di spessore non eccessivo nella parte piatta, con colore molto carico tendente al marrone rossiccio."
data/images_flat/2020-2021_Trentingrana__VI bimestre__26°Seduta_17-03-2021__Cambio colore grana__P2_TN_310_437_GRANA_A_2.bmp,Spessore della Crosta,"Crosta di spessore non eccessivo nella parte piatta, con colore molto carico tendente al marrone rossiccio.","La crosta del formaggio è di spessore non eccessivo nella parte piatta, con colore molto carico tendente al marrone rossiccio."
data/images_flat/2020-2021_Trentingrana__VI bimestre__26°Seduta_17-03-2021__Cambio colore grana__P2_TN_310_437_GRANA_A_1.bmp,Spessore della Crosta,"Crosta di spessore non eccessivo nella parte piatta, con colore molto carico tendente al marrone rossiccio.","La crosta del formaggio è di spessore non eccessivo nella parte piatta, con colore molto carico tendente al marrone rossiccio."
data/images_flat/2020-2021_Trentingrana__III bimestre__16°Seduta_18-12-2020__P3_TN319_637_FETTA_A.bmp,Spessore della Crosta,Crosta con sottocrosta tendente al verde.,La crosta del formaggio presenta una sottocrosta tendente al verde.
data/images_flat/2020-2021_Trentingrana__III bimestre__16°Seduta_18-12-2020__P1_TN302_275_GRANA_A.bmp,Spessore della Crosta,Crosta spessa.,La crosta del formaggio è spessa.
data/images_flat/2020-2021_Trentingrana__III bimestre__16°Seduta_18-12-2020__P3_TN319_637_FETTA_B.bmp,Spessore della Crosta,Crosta con sottocrosta tendente al verde.,La crosta del formaggio presenta una sottocrosta tendente al verde.
data/images_flat/2020-2021_Trentingrana__III bimestre__16°Seduta_18-12-2020__P1_TN302_275_GRANA_B.bmp,Spessore della Crosta,Crosta spessa.,La crosta del formaggio è spessa.
data/images_flat/2020-2021_Trentingrana__III bimestre__16°Seduta_18-12-2020__P3_TN319_637_GRANA_A.bmp,Spessore della Crosta,Crosta con sottocrosta tendente al verde.,La crosta del formaggio presenta una sottocrosta tendente al verde.
data/images_flat/2020-2021_Trentingrana__III bimestre__16°Seduta_18-12-2020__P1_TN302_275_FETTA_A.bmp,Spessore della Crosta,Crosta spessa.,La crosta del formaggio è spessa.
data/images_flat/2020-2021_Trentingrana__III bimestre__16°Seduta_18-12-2020__P3_TN319_637_GRANA_B.bmp,Spessore della Crosta,Crosta con sottocrosta tendente al verde.,La crosta del formaggio presenta una sottocrosta tendente al verde.
data/images_flat/2020-2021_Trentingrana__III bimestre__16°Seduta_18-12-2020__P1_TN302_275_FETTA_B.bmp,Spessore della Crosta,Crosta spessa.,La crosta del formaggio è spessa.
data/images_flat/2020-2021_Trentingrana__III bimestre__13°Seduta_02-12-2020__P2_TN307_337_FETTA_A.bmp,Spessore della Crosta,Crosta con unghia molto ampia.,La crosta del formaggio presenta unghia molto ampia.
data/images_flat/2020-2021_Trentingrana__III bimestre__13°Seduta_02-12-2020__P2_TN307_337_FETTA_B.bmp,Spessore della Crosta,Crosta con unghia molto ampia.,La crosta del formaggio presenta unghia molto ampia.
data/images_flat/2020-2021_Trentingrana__III bimestre__13°Seduta_02-12-2020__P2_TN307_337_GRANA_A.bmp,Spessore della Crosta,Crosta con unghia molto ampia.,La crosta del formaggio presenta unghia molto ampia.
data/images_flat/2020-2021_Trentingrana__III bimestre__13°Seduta_02-12-2020__P2_TN307_337_GRANA_B.bmp,Spessore della Crosta,Crosta con unghia molto ampia.,La crosta del formaggio presenta unghia molto ampia.
data/images_flat/2020-2021_Trentingrana__III bimestre__11°Seduta_19-11-2020__P6_TN328_949b_fetta.bmp,Spessore della Crosta,Crosta con spessore variabile negli scalzi.,La crosta del formaggio presenta uno spessore variabile negli scalzi.
data/images_flat/2020-2021_Trentingrana__III bimestre__11°Seduta_19-11-2020__P2_TN305_337b_Grana.bmp,Spessore della Crosta,Crosta con parti piatte ben definite.,La crosta del formaggio presenta parti piatte ben definite.
data/images_flat/2020-2021_Trentingrana__III bimestre__11°Seduta_19-11-2020__P4_TN319_793a_Grana.bmp,Spessore della Crosta,Crosta sottile.,La crosta del formaggio è sottile.
data/images_flat/2020-2021_Trentingrana__III bimestre__11°Seduta_19-11-2020__P2_TN305_337a_fetta.bmp,Spessore della Crosta,Crosta con parti piatte ben definite.,La crosta del formaggio presenta parti piatte ben definite.
data/images_flat/2020-2021_Trentingrana__III bimestre__11°Seduta_19-11-2020__P6_TN328_949a_Grana.bmp,Spessore della Crosta,Crosta con spessore variabile negli scalzi.,La crosta del formaggio presenta uno spessore variabile negli scalzi.
data/images_flat/2020-2021_Trentingrana__III bimestre__11°Seduta_19-11-2020__P4_TN319_793b_fetta.bmp,Spessore della Crosta,Crosta sottile.,La crosta del formaggio è sottile.
data/images_flat/2020-2021_Trentingrana__III bimestre__11°Seduta_19-11-2020__P2_TN305_337b_fetta.bmp,Spessore della Crosta,Crosta con parti piatte ben definite.,La crosta del formaggio presenta parti piatte ben definite.
data/images_flat/2020-2021_Trentingrana__III bimestre__11°Seduta_19-11-2020__P6_TN328_949b_Grana.bmp,Spessore della Crosta,Crosta con spessore variabile negli scalzi.,La crosta del formaggio presenta uno spessore variabile negli scalzi.
data/images_flat/2020-2021_Trentingrana__III bimestre__11°Seduta_19-11-2020__P4_TN319_793a_fetta.bmp,Spessore della Crosta,Crosta sottile.,La crosta del formaggio è sottile.
data/images_flat/2020-2021_Trentingrana__III bimestre__11°Seduta_19-11-2020__P6_TN328_949a_fetta.bmp,Spessore della Crosta,Crosta con spessore variabile negli scalzi.,La crosta del formaggio presenta uno spessore variabile negli scalzi.
data/images_flat/2020-2021_Trentingrana__III bimestre__11°Seduta_19-11-2020__P2_TN305_337a_Grana.bmp,Spessore della Crosta,Crosta con parti piatte ben definite.,La crosta del formaggio presenta parti piatte ben definite.
data/images_flat/2020-2021_Trentingrana__III bimestre__11°Seduta_19-11-2020__P4_TN319_793b_Grana.bmp,Spessore della Crosta,Crosta sottile.,La crosta del formaggio è sottile.
data/images_flat/2020-2021_Trentingrana__III bimestre__12°Seduta_25-11-2020___P4_TN311_361_GRANA_A.bmp,Spessore della Crosta,Crosta con parti piatte ben regolari e scalzo meno pronunciato.,La crosta del formaggio presenta parti piatte ben regolari e scalzo meno pronunciato.
data/images_flat/2020-2021_Trentingrana__III bimestre__12°Seduta_25-11-2020___P6_TN330_714_FETTA_A.bmp,Spessore della Crosta,Crosta con scalzo irregolare e sottocrosta poco definita.,La crosta del formaggio presenta uno scalzo irregolare e sottocrosta poco definita.
data/images_flat/2020-2021_Trentingrana__III bimestre__12°Seduta_25-11-2020___P4_TN311_361_GRANA_B.bmp,Spessore della Crosta,Crosta con parti piatte ben regolari e scalzo meno pronunciato.,La crosta del formaggio presenta parti piatte ben regolari e scalzo meno pronunciato.
data/images_flat/2020-2021_Trentingrana__III bimestre__12°Seduta_25-11-2020___P6_TN330_714_FETTA_B.bmp,Spessore della Crosta,Crosta con scalzo irregolare e sottocrosta poco definita.,La crosta del formaggio presenta uno scalzo irregolare e sottocrosta poco definita.
data/images_flat/2020-2021_Trentingrana__III bimestre__12°Seduta_25-11-2020___P4_TN311_361_FETTA_A.bmp,Spessore della Crosta,Crosta con parti piatte ben regolari e scalzo meno pronunciato.,La crosta del formaggio presenta parti piatte ben regolari e scalzo meno pronunciato.
data/images_flat/2020-2021_Trentingrana__III bimestre__12°Seduta_25-11-2020___P6_TN330_714_GRANA_A.bmp,Spessore della Crosta,Crosta con scalzo irregolare e sottocrosta poco definita.,La crosta del formaggio presenta uno scalzo irregolare e sottocrosta poco definita.
data/images_flat/2020-2021_Trentingrana__III bimestre__12°Seduta_25-11-2020___P4_TN311_361_FETTA_B.bmp,Spessore della Crosta,Crosta con parti piatte ben regolari e scalzo meno pronunciato.,La crosta del formaggio presenta parti piatte ben regolari e scalzo meno pronunciato.
data/images_flat/2020-2021_Trentingrana__III bimestre__12°Seduta_25-11-2020___P6_TN330_714_GRANA_B.bmp,Spessore della Crosta,Crosta con scalzo irregolare e sottocrosta poco definita.,La crosta del formaggio presenta uno scalzo irregolare e sottocrosta poco definita.
data/images_flat/2020-2021_Trentingrana__III bimestre__15°Seduta_16-12-2020__P3_TN314_525_FETTA_A.bmp,Spessore della Crosta,Crosta con sottopiatto tendente al verde.,La crosta del formaggio presenta un sottopiatto tendente al verde.
data/images_flat/2020-2021_Trentingrana__III bimestre__15°Seduta_16-12-2020__P3_TN314_525_GRANA+FETTA_B.bmp,Spessore della Crosta,Crosta con sottopiatto tendente al verde.,La crosta del formaggio presenta un sottopiatto tendente al verde.
data/images_flat/2020-2021_Trentingrana__III bimestre__15°Seduta_16-12-2020__P3_TN314_525_FETTA_B.bmp,Spessore della Crosta,Crosta con sottopiatto tendente al verde.,La crosta del formaggio presenta un sottopiatto tendente al verde.
data/images_flat/2020-2021_Trentingrana__III bimestre__15°Seduta_16-12-2020__P3_TN314_525_GRANA_A.bmp,Spessore della Crosta,Crosta con sottopiatto tendente al verde.,La crosta del formaggio presenta un sottopiatto tendente al verde.
data/images_flat/2020-2021_Trentingrana__III bimestre__15°Seduta_16-12-2020__P3_TN314_525_GRANA_B.bmp,Spessore della Crosta,Crosta con sottopiatto tendente al verde.,La crosta del formaggio presenta un sottopiatto tendente al verde.
data/images_flat/2020-2021_Trentingrana__IV bimestre__19°Seduta_27-01-2021__P2_TN307_123_FETTA_B.bmp,Spessore della Crosta,"Crosta unghia, di colore molto pallido rispetto alla pasta.","La crosta del formaggio presenta un'unghia, di colore molto pallido rispetto alla pasta."
data/images_flat/2020-2021_Trentingrana__IV bimestre__19°Seduta_27-01-2021__P2_TN307_123_FETTA_B.bmp,Spessore della Crosta,"Crosta con sottocrosta di colore diverso, rosellino.","La crosta del formaggio presenta una sottocrosta di colore diverso, rosellino."
data/images_flat/2020-2021_Trentingrana__IV bimestre__19°Seduta_27-01-2021__P2_TN307_123_FETTA_A.bmp,Spessore della Crosta,"Crosta unghia, di colore molto pallido rispetto alla pasta.","La crosta del formaggio presenta un'unghia, di colore molto pallido rispetto alla pasta."
data/images_flat/2020-2021_Trentingrana__IV bimestre__19°Seduta_27-01-2021__P2_TN307_123_FETTA_A.bmp,Spessore della Crosta,"Crosta con sottocrosta di colore diverso, rosellino.","La crosta del formaggio presenta una sottocrosta di colore diverso, rosellino."
data/images_flat/2020-2021_Trentingrana__IV bimestre__19°Seduta_27-01-2021__P2_TN307_123_GRANA_B.bmp,Spessore della Crosta,"Crosta unghia, di colore molto pallido rispetto alla pasta.","La crosta del formaggio presenta un'unghia, di colore molto pallido rispetto alla pasta."
data/images_flat/2020-2021_Trentingrana__IV bimestre__19°Seduta_27-01-2021__P2_TN307_123_GRANA_B.bmp,Spessore della Crosta,"Crosta con sottocrosta di colore diverso, rosellino.","La crosta del formaggio presenta una sottocrosta di colore diverso, rosellino."
data/images_flat/2020-2021_Trentingrana__IV bimestre__19°Seduta_27-01-2021__P2_TN307_123_GRANA_A.bmp,Spessore della Crosta,"Crosta unghia, di colore molto pallido rispetto alla pasta.","La crosta del formaggio presenta un'unghia, di colore molto pallido rispetto alla pasta."
data/images_flat/2020-2021_Trentingrana__IV bimestre__19°Seduta_27-01-2021__P2_TN307_123_GRANA_A.bmp,Spessore della Crosta,"Crosta con sottocrosta di colore diverso, rosellino.","La crosta del formaggio presenta una sottocrosta di colore diverso, rosellino."
data/images_flat/2020-2021_Trentingrana__IV bimestre__21°Seduta_10-02-2021__P5_TN323_892_FETTA_B.bmp,Spessore della Crosta,Crosta con scalzo irregolare.,La crosta del formaggio presenta uno scalzo irregolare.
data/images_flat/2020-2021_Trentingrana__IV bimestre__21°Seduta_10-02-2021__P5_TN323_892_FETTA_A.bmp,Spessore della Crosta,Crosta con scalzo irregolare.,La crosta del formaggio presenta uno scalzo irregolare.
data/images_flat/2020-2021_Trentingrana__IV bimestre__21°Seduta_10-02-2021__P2_TN306_938_FETTA_A.bmp,Spessore della Crosta,Crosta con scalzo e parte piatta irregolari.,La crosta del formaggio presenta uno scalzo e parte piatta irregolari.
data/images_flat/2020-2021_Trentingrana__IV bimestre__21°Seduta_10-02-2021__P2_TN306_938_FETTA_A.bmp,Spessore della Crosta,Crosta sottile con ampio sviluppo laterale.,La crosta del formaggio è sottile con ampio sviluppo laterale.
data/images_flat/2020-2021_Trentingrana__IV bimestre__21°Seduta_10-02-2021__P2_TN306_938_FETTA_B.bmp,Spessore della Crosta,Crosta con scalzo e parte piatta irregolari.,La crosta del formaggio presenta uno scalzo e parte piatta irregolari.
data/images_flat/2020-2021_Trentingrana__IV bimestre__21°Seduta_10-02-2021__P2_TN306_938_FETTA_B.bmp,Spessore della Crosta,Crosta sottile con ampio sviluppo laterale.,La crosta del formaggio è sottile con ampio sviluppo laterale.
data/images_flat/2020-2021_Trentingrana__IV bimestre__21°Seduta_10-02-2021__P2_TN306_938_GRANA_A.bmp,Spessore della Crosta,Crosta con scalzo e parte piatta irregolari.,La crosta del formaggio presenta uno scalzo e parte piatta irregolari.
data/images_flat/2020-2021_Trentingrana__IV bimestre__21°Seduta_10-02-2021__P2_TN306_938_GRANA_A.bmp,Spessore della Crosta,Crosta sottile con ampio sviluppo laterale.,La crosta del formaggio è sottile con ampio sviluppo laterale.
data/images_flat/2020-2021_Trentingrana__IV bimestre__21°Seduta_10-02-2021__P2_TN306_938_GRANA_B.bmp,Spessore della Crosta,Crosta con scalzo e parte piatta irregolari.,La crosta del formaggio presenta uno scalzo e parte piatta irregolari.
data/images_flat/2020-2021_Trentingrana__IV bimestre__21°Seduta_10-02-2021__P2_TN306_938_GRANA_B.bmp,Spessore della Crosta,Crosta sottile con ampio sviluppo laterale.,La crosta del formaggio è sottile con ampio sviluppo laterale.
data/images_flat/2020-2021_Trentingrana__IV bimestre__21°Seduta_10-02-2021__P5_TN323_892_GRANA_B.bmp,Spessore della Crosta,Crosta con scalzo irregolare.,La crosta del formaggio presenta uno scalzo irregolare.
data/images_flat/2020-2021_Trentingrana__IV bimestre__21°Seduta_10-02-2021__P5_TN323_892_GRANA_A.bmp,Spessore della Crosta,Crosta con scalzo irregolare.,La crosta del formaggio presenta uno scalzo irregolare.
data/images_flat/2020-2021_Trentingrana__IV bimestre__20° Seduta_03-02-2021__P2_TN311_441_FETTA_A.bmp,Spessore della Crosta,Crosta con parte piatta nettamente più spessa.,La crosta del formaggio presenta una parte piatta nettamente più spessa.
data/images_flat/2020-2021_Trentingrana__IV bimestre__20° Seduta_03-02-2021__P2_TN311_441_FETTA_B.bmp,Spessore della Crosta,Crosta con parte piatta nettamente più spessa.,La crosta del formaggio presenta una parte piatta nettamente più spessa.
data/images_flat/2020-2021_Trentingrana__IV bimestre__20° Seduta_03-02-2021__P5_TN323_413_GRANA_B.bmp,Spessore della Crosta,Crosta con sottocrosta caratterizzata da microocchiatura.,La crosta del formaggio presenta una sottocrosta caratterizzata da microocchiatura.
data/images_flat/2020-2021_Trentingrana__IV bimestre__20° Seduta_03-02-2021__P5_TN323_413_GRANA_A.bmp,Spessore della Crosta,Crosta con sottocrosta caratterizzata da microocchiatura.,La crosta del formaggio presenta una sottocrosta caratterizzata da microocchiatura.
data/images_flat/2020-2021_Trentingrana__IV bimestre__20° Seduta_03-02-2021__P5_TN323_413_FETTA_B.bmp,Spessore della Crosta,Crosta con sottocrosta caratterizzata da microocchiatura.,La crosta del formaggio presenta una sottocrosta caratterizzata da microocchiatura.
data/images_flat/2020-2021_Trentingrana__IV bimestre__20° Seduta_03-02-2021__P5_TN323_413_FETTA_A.bmp,Spessore della Crosta,Crosta con sottocrosta caratterizzata da microocchiatura.,La crosta del formaggio presenta una sottocrosta caratterizzata da microocchiatura.
data/images_flat/2020-2021_Trentingrana__IV bimestre__20° Seduta_03-02-2021__P2_TN311_441_GRANA_A.bmp,Spessore della Crosta,Crosta con parte piatta nettamente più spessa.,La crosta del formaggio presenta una parte piatta nettamente più spessa.
data/images_flat/2020-2021_Trentingrana__IV bimestre__20° Seduta_03-02-2021__P2_TN311_441_GRANA_B.bmp,Spessore della Crosta,Crosta con parte piatta nettamente più spessa.,La crosta del formaggio presenta una parte piatta nettamente più spessa.
data/images_flat/2020-2021_Trentingrana__IV bimestre__18°Seduta_20-01-2021__P3_TN310_155_GRANA_A.bmp,Spessore della Crosta,Crosta con spigoli marcati.,La crosta del formaggio presenta spigoli marcati.
data/images_flat/2020-2021_Trentingrana__IV bimestre__18°Seduta_20-01-2021__P3-TN310_155_GRANA_B.bmp,Spessore della Crosta,Crosta con spigoli marcati.,La crosta del formaggio presenta spigoli marcati.
