dedup_key,attribute,caption_pre,caption_clean,frequency,sample_row_id,error
Sapore::sapore poco intenso ma equilibrato,Sapore,Sapore poco intenso ma equilibrato,Sapore poco intenso ma equilibrato.,8,4420,
Sapore::equilibrato con leggera sapidità,Sapore,equilibrato con leggera sapidità,Sapore equilibrato con leggera sapidità.,4,14191,
Sapore::leggermente acdido,Sapore,leggermente acdido,Sapore leggermente acido.,4,16728,
Sapore::poco carattere,Sapore,Poco carattere,Sapore poco caratterizzato.,4,2384,
Sapore::solo salato e acido,Sapore,Solo salato e acido,Sapore salato e acido.,10,2135,
Sapore::acido e amaro manca di tutto il resto,Sapore,Acido e amaro. Manca di tutto il resto,"Sapore acido e amaro, scarno nel resto.",4,49178,
Sapore::dolce e sa di vecchio,Sapore,dolce e sa di vecchio,Sapore dolce con note di invecchiamento.,4,11604,
Sapore::poco sapido e senza carattere,Sapore,poco sapido e senza carattere,Sapore poco sapido e scarico di carattere.,2,46814,
Sapore::equilibrato leggermente amaro il finale,Sapore,"equilibrato, leggermente amaro il finale",Sapore equilibrato con leggermente amaro al finale.,4,37236,
Aroma::panna,Aroma,panna,Aroma di panna.,142,7946,
Aroma::cotto,Aroma,cotto,Aroma cotto.,92,7330,
Aroma::crosta di formaggio,Aroma,crosta di formaggio,Aroma di crosta di formaggio.,56,5489,
Aroma::non piacevole,Aroma,Non piacevole!!!,Aroma non piacevole.,36,1009,
Aroma::latte cotto leggero,Aroma,latte cotto leggero,Aroma di latte cotto leggero.,4,7949,
Aroma::principalmente lattico cotto,Aroma,principalmente lattico cotto,Aroma principalmente lattico cotto.,4,24247,
Aroma::leggera crosta di formaggio,Aroma,leggera crosta di formaggio,Aroma di crosta di formaggio leggero.,4,11474,
Aroma::latte cotto,Aroma,latte cotto;,Aroma di latte cotto.,56,6029,
Aroma::panna e leggero di cotto,Aroma,panna e leggero di cotto,Aroma di panna cotta e leggero.,4,37328,
Aroma::rispetto al naso meno carenti le note evolute del glutammato rimangono le note lattiche della panna e del burro fuso equilibrato,Aroma,"rispetto al naso, meno carenti le note evolute del glutammato, rimangono le note lattiche della panna e del burro fuso, equilibrato","Aroma con note lattiche di panna e burro fuso, note evolute di glutammato e equilibrato.",2,46143,
Aroma::lattico,Aroma,lattico,Aroma lattico.,4,47539,
Aroma::crosta,Aroma,crosta,Aroma di crosta.,24,13155,
Aroma::torna un cattivo sentore tanta frutta secca nocciola,Aroma,Torna un cattivo sentore. Tanta frutta secca . Nocciola,Aroma di nocciola e frutta secca con un sentore sgradevole.,4,4812,
Aroma::come al naso anche in bocca la nota di brodo [ marcata ma nel complesso abbastanza equilibrato,Aroma,"come al naso, anche in bocca la nota di brodo [ marcata ma nel complesso abbastanza equilibrato","Aroma di brodo marcato, nel complesso abbastanza equilibrato.",4,22368,
Texture::asciutto,Texture,asciutto,Texture asciutta.,124,15508,
Texture::compatto,Texture,Compatto,Texture compatta.,90,869,
Texture::pastoso,Texture,pastoso,Texture pastosa.,74,5809,
Aroma::aroma abbastanza piatto con note di burro fuso e formaggio cotto,Aroma,"aroma abbastanza piatto, con note di burro fuso e formaggio cotto",Aroma abbastanza piatto con note di burro fuso e formaggio cotto.,4,16820,
Texture::ingozza,Texture,Ingozza,Texture che ingozza la bocca.,40,1005,
Texture::leggermente asciutto,Texture,Leggermente asciutto,Texture leggermente asciutta.,56,468,
Texture::molti cristalli decente microstruttura abbastanza solubile,Texture,"molti cristalli, decente microstruttura, abbastanza solubile","Texture con molti cristalli, decente microstruttura e abbastanza solubile.",4,11204,
Texture::consistenza sabbiosa poco solubile,Texture,"consistenza sabbiosa, poco solubile",Texture sabbiosa e poco solubile.,4,18292,
Texture::asciutto poco granuloso e pastoso poco sol,Texture,asciutto poco granuloso e pastoso poco sol,"Texture asciutta, poco granulosa e pastosa, poco solubile.",4,30638,
Texture::compatto adesivo poco solubile e poco friabile poco granuloso pochi cristalli,Texture,"compatto, adesivo, poco solubile e poco friabile, poco granuloso, pochi cristalli","Texture compatta, adesiva, poco solubile e poco friabile, con pochi cristalli.",4,5575,
Texture::buona friabilità' presenti cristalli,Texture,"buona friabilità', presenti cristalli",Texture friabile con cristalli presenti.,4,24182,
Texture::consistenza solubilità e friabilità molto buone non ben distribuita la tirosina,Texture,"consistenza, solubilità e friabilità molto buone;non ben distribuita la tirosina","Texture con buona consistenza, solubilità e friabilità; tirosina non ben distribuita.",4,33860,
Texture::molto friabile solubile,Texture,"molto friabile, solubile",Texture molto friabile e solubile.,4,31937,
Texture::un poco umida mediamente granulosa mediamente solubile pochi cristalli,Texture,"un poco umida, mediamente granulosa, mediamente solubile, pochi cristalli","Texture leggermente umida, mediamente granulosa, mediamente solubile, con pochi cristalli.",4,5953,
Texture::umido e solubile,Texture,umido e solubile,Texture umida e solubile.,4,5806,
Spessore della Crosta::media,Spessore della Crosta,Media,Crosta di spessore medio.,194,5507,
Spessore della Crosta::sottile,Spessore della Crosta,Sottile,Crosta sottile.,160,5509,
Spessore della Crosta::10 mm,Spessore della Crosta,10 mm,Crosta sottile.,72,7360,
Texture::mediamente dura granulosa solubile gradevole,Texture,"mediamente dura, granulosa, solubile, gradevole","Texture mediamente dura, granulosa e solubile.",4,30740,
Spessore della Crosta::12 mm,Spessore della Crosta,12 mm,Crosta di spessore medio.,72,9293,
Spessore della Crosta::1 cm,Spessore della Crosta,1 cm,Crosta spessa.,64,9291,
Spessore della Crosta::begli angoli,Spessore della Crosta,Begli angoli,Crosta con spigoli pronunciati.,4,50543,
Spessore della Crosta::colore di fondo carico,Spessore della Crosta,Colore di fondo carico,Crosta con colore di fondo carico.,12,50775,
Spessore della Crosta::mediamente 10 mm con punte maggiori negli angoli,Spessore della Crosta,Mediamente 10 mm con punte maggiori negli angoli,Crosta mediamente spessa con spigoli pronunciati.,4,35478,
Spessore della Crosta::ne grossa ne fine,Spessore della Crosta,Ne grossa ne fine,Crosta di spessore medio.,4,41510,
Spessore della Crosta::crosta sempre superiore al cm su uno scalzi molto spessa,Spessore della Crosta,Crosta sempre superiore al cm. Su uno scalzi molto spessa,Crosta spessa con scalzo molto pronunciato.,4,15572,
Spessore della Crosta::troppo negli angoli,Spessore della Crosta,Troppo negli angoli,Crosta con spessore eccessivo negli angoli.,4,4751,
Spessore della Crosta::irregolare molto più spesso su uno scalzo,Spessore della Crosta,"Irregolare, molto più spesso su uno scalzo","Crosta irregolare, significativamente più spessa sullo scalzo.",4,42887,
Spessore della Crosta::più evidente su 1 piatto,Spessore della Crosta,Più evidente su 1 piatto,Crosta più evidente sulla parte piatta.,8,27391,
Struttura della Pasta::stirata,Struttura della Pasta,Stirata,Pasta stirata.,54,5592,
Spessore della Crosta::1 cm ma con unghia marcata,Spessore della Crosta,1 cm ma con unghia marcata,Crosta di spessore medio con unghia marcata.,4,18380,
Spessore della Crosta::piatto sottile lato abbondante,Spessore della Crosta,Piatto sottile lato abbondante,Crosta con parte piatta sottile e lato abbastanza spesso.,4,25703,
Struttura della Pasta::ruvida,Struttura della Pasta,Ruvida,Pasta ruvida.,40,4492,
Struttura della Pasta::granulosa,Struttura della Pasta,Granulosa,Pasta granulosa.,32,5823,
Struttura della Pasta::micro occhiatura diffusa,Struttura della Pasta,Micro occhiatura diffusa,Pasta con microocchiatura diffusa.,30,2198,
Struttura della Pasta::un poco' di microocchiatura,Struttura della Pasta,Un poco' di microocchiatura,Pasta con poca microocchiatura.,4,41123,
Struttura della Pasta::non omogenea con piccole aree stirate presenza microocchiatura su u a parte limitata frattura non omogenea,Struttura della Pasta,Non omogenea con piccole aree stirate Presenza microocchiatura su u a parte limitata Frattura non omogenea,"Pasta non omogenea con piccole aree stirate, microocchiatura su una parte limitata e frattura irregolare.",4,40359,
Struttura della Pasta::microocchiatura,Struttura della Pasta,Microocchiatura,Pasta con microocchiatura.,28,1011,
Struttura della Pasta::lieve microocchiatura ma diffusa e stirato centralmente,Struttura della Pasta,"Lieve Microocchiatura, ma diffusa e stirato centralmente",Pasta con leggera microocchiatura diffusa e stirata al centro.,4,18464,
Struttura della Pasta::frattura irregolare fine bocciatura molto fitta anche sotto crosta,Struttura della Pasta,Frattura irregolare fine bocciatura molto fitta anche sotto crosta,"Pasta con frattura irregolare, grana fine e microocchiatura molto fitta anche sotto crosta.",4,5975,
Struttura della Pasta::qualche microocch alcune fenditure,Struttura della Pasta,"Qualche microocch, alcune fenditure",Pasta con qualche microocchiatura e alcune fenditure.,4,47227,
Struttura della Pasta::struttura abbastanza granulosa e definita ma con presenza di micro occhiatura diffusa,Struttura della Pasta,Struttura abbastanza granulosa e definita ma con presenza di micro occhiatura diffusa,Pasta abbastanza granulosa e definita con microocchiatura diffusa.,4,35727,
Struttura della Pasta::frattura irregolare striature centrali,Struttura della Pasta,"Frattura irregolare, striature centrali",Pasta con frattura irregolare e striature centrali.,4,42756,
Struttura della Pasta::frattura ok ma stiratura a tratti con presenza di micro occhiatura,Struttura della Pasta,Frattura ok ma stiratura a tratti con presenza di micro occhiatura,"Pasta con frattura regolare, stiratura a tratti e microocchiatura diffusa.",4,7986,
Struttura della Pasta::striata e spugnosa,Struttura della Pasta,Striata e spugnosa,Pasta striata e spugnosa.,8,29209,
Colore della Pasta::alone centrale,Colore della Pasta,Alone centrale,Pasta con alone centrale.,80,5527,
Struttura della Pasta::tende a fare piccole scaglie,Struttura della Pasta,Tende a fare piccole scaglie,Pasta tendente a formare piccole scaglie.,4,26,
Colore della Pasta::giallo carico,Colore della Pasta,Giallo carico,Pasta di colore giallo carico.,56,5835,
Colore della Pasta::omogeneo,Colore della Pasta,Omogeneo,Pasta di colore omogeneo.,74,5911,
Colore della Pasta::leggero alone centrale,Colore della Pasta,Leggero alone centrale,Pasta con leggero alone centrale.,40,29,
Colore della Pasta::colore chiaro appena più carico al centro poco comunque mi pare vedere macchia rosa sul taglio non sono sicuro non penaizzo,Colore della Pasta,"Colore chiaro appena più carico al centro, poco comunque. Mi pare vedere macchia rosa sul taglio. Non sono sicuro, non penaizzo",Pasta di colore chiaro con leggera tonalità più carica al centro e macchia rosata sul taglio.,4,22332,
Colore della Pasta::giallo omogeneo non troppo carico,Colore della Pasta,"Giallo omogeneo, non troppo carico","Pasta di colore giallo omogeneo, non troppo carico.",4,16787,
Colore della Pasta::aree grigiastro sotto i piatti,Colore della Pasta,Aree grigiastro sotto i piatti,Pasta con aree grigiastre sotto la sottocrosta.,4,1021,
Colore della Pasta::angoli particolarmente colorati,Colore della Pasta,Angoli particolarmente colorati,Pasta con angoli particolarmente colorati.,4,4104,
Colore della Pasta::carico al centro,Colore della Pasta,Carico al centro,Pasta di colore carico al centro.,52,9310,
Colore della Pasta::colore non saturo appena più chiaro verso un piatto e uno scalzo,Colore della Pasta,Colore non saturo appena più Chiaro verso un piatto e uno scalzo,"Pasta di colore non saturo, appena più chiara verso il piatto e uno scalzo.",4,32427,
Colore della Pasta::chiaro e unif,Colore della Pasta,Chiaro e unif,Pasta di colore chiaro e uniforme.,4,21693,
Colore della Pasta::colore chiaro ed omogeneo,Colore della Pasta,Colore chiaro ed omogeneo,Pasta di colore chiaro e omogeneo.,4,31891,
Colore della Pasta::giallo carico con macchia marrone,Colore della Pasta,Giallo carico con macchia marrone,Pasta di colore giallo carico con macchia marrone.,4,9398,
Colore della Pasta::giallo chiaro omogeneo verso paglierino,Colore della Pasta,Giallo chiaro omogeneo verso paglierino,"Pasta di colore giallo chiaro omogeneo, tendente al paglierino.",4,31972,
Colore della Pasta::mediamente carico abbastanza omogeneo ma con lieve alone rosato,Colore della Pasta,Mediamente carico abbastanza omogeneo ma con lieve alone rosato,"Pasta di colore mediamente carico, abbastanza omogeneo con lieve alone rosato.",4,41189,
