row_id,image_path_flat,image_path,year_folder,session_date,session_num,bimester,view,panel_slot,panel_replicate,dairy_id,product_code,panelist,attribute,caption_raw,caption_pre,caption
6524,data/images_flat/2018-2019_Trentingrana__2019-01-16__P3b_316_fetta.bmp,data/TrentinGrana/2018-2019_Trentingrana/2019-01-16/P3b_316_fetta.bmp,2018-2019_Trentingrana,2019-01-16,17,,Fetta,3,b,TN_316,C0L,TG_35,Struttura della Pasta,"Evidente sfoglia di 4 cm, frattura regolare","Evidente sfoglia di 4 cm, frattura regolare",Pasta con frattura regolare e sfogliatura evidente.
6525,data/images_flat/2018-2019_Trentingrana__2019-01-16__P3b_316_fetta.bmp,data/TrentinGrana/2018-2019_Trentingrana/2019-01-16/P3b_316_fetta.bmp,2018-2019_Trentingrana,2019-01-16,17,,Fetta,3,b,TN_316,C0L,Q_09,Colore della Pasta,"Alone più scuro che contrasta con un piatto più chiaro, 4 macchie rosate","Alone più scuro che contrasta con un piatto più chiaro, 4 macchie rosate",Pasta con alone più scuro che contrasta con la parte più chiara e qualche macchia rosata.
6526,data/images_flat/2018-2019_Trentingrana__2019-01-16__P3b_316_fetta.bmp,data/TrentinGrana/2018-2019_Trentingrana/2019-01-16/P3b_316_fetta.bmp,2018-2019_Trentingrana,2019-01-16,17,,Fetta,3,b,TN_316,C0L,TG_04,Colore della Pasta,Carico al centro nel tono del giallo,Carico al centro nel tono del giallo,Pasta di colore giallo carico al centro.
6527,data/images_flat/2018-2019_Trentingrana__2019-01-16__P3b_316_fetta.bmp,data/TrentinGrana/2018-2019_Trentingrana/2019-01-16/P3b_316_fetta.bmp,2018-2019_Trentingrana,2019-01-16,17,,Fetta,3,b,TN_316,C0L,TG_05,Colore della Pasta,Rosa ai bordi,Rosa ai bordi,Pasta con tonalità rosata ai bordi.
6528,data/images_flat/2018-2019_Trentingrana__2019-01-16__P3b_316_fetta.bmp,data/TrentinGrana/2018-2019_Trentingrana/2019-01-16/P3b_316_fetta.bmp,2018-2019_Trentingrana,2019-01-16,17,,Fetta,3,b,TN_316,C0L,TG_11,Colore della Pasta,Alone centrale,Alone centrale,Pasta con alone centrale.
6529,data/images_flat/2018-2019_Trentingrana__2019-01-16__P3b_316_fetta.bmp,data/TrentinGrana/2018-2019_Trentingrana/2019-01-16/P3b_316_fetta.bmp,2018-2019_Trentingrana,2019-01-16,17,,Fetta,3,b,TN_316,C0L,TG_12,Colore della Pasta,"Più  chiaro verso l'esterno, diverse macchie","Più chiaro verso l'esterno, diverse macchie",Pasta più chiara verso l'esterno con diverse macchie.
6530,data/images_flat/2018-2019_Trentingrana__2019-01-16__P3b_316_fetta.bmp,data/TrentinGrana/2018-2019_Trentingrana/2019-01-16/P3b_316_fetta.bmp,2018-2019_Trentingrana,2019-01-16,17,,Fetta,3,b,TN_316,C0L,TG_13,Colore della Pasta,Nocciola al centro,Nocciola al centro,Pasta di colore nocciola al centro.
6531,data/images_flat/2018-2019_Trentingrana__2019-01-16__P3b_316_fetta.bmp,data/TrentinGrana/2018-2019_Trentingrana/2019-01-16/P3b_316_fetta.bmp,2018-2019_Trentingrana,2019-01-16,17,,Fetta,3,b,TN_316,C0L,TG_14,Colore della Pasta,Giallo chiaro con macchie rosa,Giallo chiaro con macchie rosa,Pasta di colore giallo chiaro con macchie rosa.
6532,data/images_flat/2018-2019_Trentingrana__2019-01-16__P3b_316_fetta.bmp,data/TrentinGrana/2018-2019_Trentingrana/2019-01-16/P3b_316_fetta.bmp,2018-2019_Trentingrana,2019-01-16,17,,Fetta,3,b,TN_316,C0L,TG_19,Colore della Pasta,Grande alone centrale e qualche piccola macchia rosa,Grande alone centrale e qualche piccola macchia rosa,Pasta con grande alone centrale e piccole macchie rosate.
6533,data/images_flat/2018-2019_Trentingrana__2019-01-16__P3b_316_fetta.bmp,data/TrentinGrana/2018-2019_Trentingrana/2019-01-16/P3b_316_fetta.bmp,2018-2019_Trentingrana,2019-01-16,17,,Fetta,3,b,TN_316,C0L,TG_20,Colore della Pasta,Carico quasi ossidato con due macchie rosa,Carico quasi ossidato con due macchie rosa,Pasta di colore carico con due macchie rosa.
6534,data/images_flat/2018-2019_Trentingrana__2019-01-16__P3b_316_fetta.bmp,data/TrentinGrana/2018-2019_Trentingrana/2019-01-16/P3b_316_fetta.bmp,2018-2019_Trentingrana,2019-01-16,17,,Fetta,3,b,TN_316,C0L,TG_26,Colore della Pasta,Macchie rosa colore chiaro alone centrale più scuro,Macchie rosa colore chiaro alone centrale più scuro,"Pasta con macchie rosa, colore chiaro e alone centrale più scuro."
6535,data/images_flat/2018-2019_Trentingrana__2019-01-16__P3b_316_fetta.bmp,data/TrentinGrana/2018-2019_Trentingrana/2019-01-16/P3b_316_fetta.bmp,2018-2019_Trentingrana,2019-01-16,17,,Fetta,3,b,TN_316,C0L,TG_35,Colore della Pasta,Paglierino sganciato omogeneoamente distribuito,Paglierino sganciato omogeneoamente distribuito,Pasta di colore paglierino omogenamente distribuito.
6536,data/images_flat/2018-2019_Trentingrana__2019-01-16__P3a_316_fetta.bmp,data/TrentinGrana/2018-2019_Trentingrana/2019-01-16/P3a_316_fetta.bmp,2018-2019_Trentingrana,2019-01-16,17,,Fetta,3,a,TN_316,C0L,TG_20,Profumo,"intenso ma poco caratteristico, stantio, chiuso, catina","intenso ma poco caratteristico, stantio, chiuso, catina","Profumo intenso ma poco caratteristico, leggermente stantio e chiuso."
6537,data/images_flat/2018-2019_Trentingrana__2019-01-16__P3a_316_fetta.bmp,data/TrentinGrana/2018-2019_Trentingrana/2019-01-16/P3a_316_fetta.bmp,2018-2019_Trentingrana,2019-01-16,17,,Fetta,3,a,TN_316,C0L,TG_35,Profumo,Panna burro lato cotto leggero tostato,Panna burro lato cotto leggero tostato,"Profumo di panna e burro cotto, leggero e tostato."
6538,data/images_flat/2018-2019_Trentingrana__2019-01-16__P3a_316_fetta.bmp,data/TrentinGrana/2018-2019_Trentingrana/2019-01-16/P3a_316_fetta.bmp,2018-2019_Trentingrana,2019-01-16,17,,Fetta,3,a,TN_316,C0L,TG_14,Profumo,"brodo di carne, burro fuso","brodo di carne, burro fuso",Profumo di brodo di carne e burro fuso.
6539,data/images_flat/2018-2019_Trentingrana__2019-01-16__P3a_316_fetta.bmp,data/TrentinGrana/2018-2019_Trentingrana/2019-01-16/P3a_316_fetta.bmp,2018-2019_Trentingrana,2019-01-16,17,,Fetta,3,a,TN_316,C0L,Q_09,Profumo,leggero stracci sporchi all'inizio poi panna vegetale,leggero stracci sporchi all'inizio poi panna vegetale,"Profumo leggermente di stracci sporchi all'inizio, poi di panna vegetale."
6540,data/images_flat/2018-2019_Trentingrana__2019-01-16__P3a_316_fetta.bmp,data/TrentinGrana/2018-2019_Trentingrana/2019-01-16/P3a_316_fetta.bmp,2018-2019_Trentingrana,2019-01-16,17,,Fetta,3,a,TN_316,C0L,TG_12,Profumo,"stantio, cavolfiore","stantio, cavolfiore",Profumo di cavolfiore con sentore stantio.
6541,data/images_flat/2018-2019_Trentingrana__2019-01-16__P3a_316_fetta.bmp,data/TrentinGrana/2018-2019_Trentingrana/2019-01-16/P3a_316_fetta.bmp,2018-2019_Trentingrana,2019-01-16,17,,Fetta,3,a,TN_316,C0L,TG_13,Profumo,"sentore di cotto, tostato","sentore di cotto, tostato",Profumo di cotto e tostato.
6542,data/images_flat/2018-2019_Trentingrana__2019-01-16__P3a_316_fetta.bmp,data/TrentinGrana/2018-2019_Trentingrana/2019-01-16/P3a_316_fetta.bmp,2018-2019_Trentingrana,2019-01-16,17,,Fetta,3,a,TN_316,C0L,TG_04,Profumo,"intensita' moderata. sentori lattei, burro, poca panna. tostato. crosta","intensità' moderata. sentori lattei, burro, poca panna. tostato. crosta","Profumo di intensità moderata con sentori lattei, burro e panna leggermente presente, note di tostato da crosta."
6543,data/images_flat/2018-2019_Trentingrana__2019-01-16__P3a_316_fetta.bmp,data/TrentinGrana/2018-2019_Trentingrana/2019-01-16/P3a_316_fetta.bmp,2018-2019_Trentingrana,2019-01-16,17,,Fetta,3,a,TN_316,C0L,TG_19,Profumo,"all'apertura ododre pungente, quasi ammoniacale, poi tostati decisi e speziati, latte cotto quasi bruciato, cacao amaro e caffé","all'apertura ododre pungente, quasi ammoniacale, poi tostati decisi e speziati, latte cotto quasi bruciato, cacao amaro e caffé","Profumo all'apertura pungente quasi ammoniacale, seguito da note tostate decise e speziate, latte cotto quasi bruciato, cacao amaro e caffé."
6544,data/images_flat/2018-2019_Trentingrana__2019-01-16__P3a_316_fetta.bmp,data/TrentinGrana/2018-2019_Trentingrana/2019-01-16/P3a_316_fetta.bmp,2018-2019_Trentingrana,2019-01-16,17,,Fetta,3,a,TN_316,C0L,TG_26,Profumo,no difetti ma chiuso,no difetti ma chiuso,Profumo chiuso.
6545,data/images_flat/2018-2019_Trentingrana__2019-01-16__P3a_316_fetta.bmp,data/TrentinGrana/2018-2019_Trentingrana/2019-01-16/P3a_316_fetta.bmp,2018-2019_Trentingrana,2019-01-16,17,,Fetta,3,a,TN_316,C0L,TG_11,Profumo,burro,burro,Profumo di burro.
6546,data/images_flat/2018-2019_Trentingrana__2019-01-16__P3a_316_fetta.bmp,data/TrentinGrana/2018-2019_Trentingrana/2019-01-16/P3a_316_fetta.bmp,2018-2019_Trentingrana,2019-01-16,17,,Fetta,3,a,TN_316,C0L,TG_05,Profumo,latte crudo;fruttato,latte crudo;fruttato,Profumo di latte crudo con note fruttate.
6547,data/images_flat/2018-2019_Trentingrana__2019-01-16__P3a_316_fetta.bmp,data/TrentinGrana/2018-2019_Trentingrana/2019-01-16/P3a_316_fetta.bmp,2018-2019_Trentingrana,2019-01-16,17,,Fetta,3,a,TN_316,C0L,TG_20,Sapore,"dolce sapido, buon umami, piccantezza contenuta","dolce sapido, buon umami, piccantezza contenuta",Sapore dolce sapido con buon umami e piccantezza contenuta.
6548,data/images_flat/2018-2019_Trentingrana__2019-01-16__P3a_316_fetta.bmp,data/TrentinGrana/2018-2019_Trentingrana/2019-01-16/P3a_316_fetta.bmp,2018-2019_Trentingrana,2019-01-16,17,,Fetta,3,a,TN_316,C0L,TG_35,Sapore,"ecquilibrato, ma con una nota acida iniziale","equilibrato, ma con una nota acida iniziale",Sapore equilibrato con nota acida iniziale.
6549,data/images_flat/2018-2019_Trentingrana__2019-01-16__P3a_316_fetta.bmp,data/TrentinGrana/2018-2019_Trentingrana/2019-01-16/P3a_316_fetta.bmp,2018-2019_Trentingrana,2019-01-16,17,,Fetta,3,a,TN_316,C0L,TG_14,Sapore,"umami accenutato, e leggermete piccante","umami accenutato, e leggermete piccante",Sapore umami accentuato e leggermente piccante.
6552,data/images_flat/2018-2019_Trentingrana__2019-01-16__P3a_316_fetta.bmp,data/TrentinGrana/2018-2019_Trentingrana/2019-01-16/P3a_316_fetta.bmp,2018-2019_Trentingrana,2019-01-16,17,,Fetta,3,a,TN_316,C0L,TG_13,Sapore,dolce,dolce,Sapore dolce.
6553,data/images_flat/2018-2019_Trentingrana__2019-01-16__P3a_316_fetta.bmp,data/TrentinGrana/2018-2019_Trentingrana/2019-01-16/P3a_316_fetta.bmp,2018-2019_Trentingrana,2019-01-16,17,,Fetta,3,a,TN_316,C0L,TG_04,Sapore,non dolce. non amaro. il resto bene presente. poco umami. f,non dolce. non amaro. il resto bene presente. poco umami. f,"Sapore non dolce, non amaro, con poco umami."
6554,data/images_flat/2018-2019_Trentingrana__2019-01-16__P3a_316_fetta.bmp,data/TrentinGrana/2018-2019_Trentingrana/2019-01-16/P3a_316_fetta.bmp,2018-2019_Trentingrana,2019-01-16,17,,Fetta,3,a,TN_316,C0L,TG_19,Sapore,"un po' di acido iniziale, poi dolciastro, alla fine esce anche un po' di amaro","un poco' di acido iniziale, poi dolciastro, alla fine esce anche un poco' di amaro","Sapore leggermente acido all'inizio, dolciastro nel mezzo, con una punta di amaro nel finale."
6555,data/images_flat/2018-2019_Trentingrana__2019-01-16__P3a_316_fetta.bmp,data/TrentinGrana/2018-2019_Trentingrana/2019-01-16/P3a_316_fetta.bmp,2018-2019_Trentingrana,2019-01-16,17,,Fetta,3,a,TN_316,C0L,TG_26,Sapore,piccante,piccante,Sapore piccante.
6556,data/images_flat/2018-2019_Trentingrana__2019-01-16__P3a_316_fetta.bmp,data/TrentinGrana/2018-2019_Trentingrana/2019-01-16/P3a_316_fetta.bmp,2018-2019_Trentingrana,2019-01-16,17,,Fetta,3,a,TN_316,C0L,TG_11,Sapore,piccante,piccante,Sapore piccante.
6557,data/images_flat/2018-2019_Trentingrana__2019-01-16__P3a_316_fetta.bmp,data/TrentinGrana/2018-2019_Trentingrana/2019-01-16/P3a_316_fetta.bmp,2018-2019_Trentingrana,2019-01-16,17,,Fetta,3,a,TN_316,C0L,TG_05,Sapore,piccante;salato;,piccante;salato;,Sapore piccante e salato.
6558,data/images_flat/2018-2019_Trentingrana__2019-01-16__P3a_316_fetta.bmp,data/TrentinGrana/2018-2019_Trentingrana/2019-01-16/P3a_316_fetta.bmp,2018-2019_Trentingrana,2019-01-16,17,,Fetta,3,a,TN_316,C0L,TG_20,Aroma,"nota di sapone, di ossidato, meno sgradevole che al naso","nota di sapone, di ossidato, meno sgradevole che al naso","Aroma con note di sapone e ossidato, meno sgradevole che al naso."
6559,data/images_flat/2018-2019_Trentingrana__2019-01-16__P3a_316_fetta.bmp,data/TrentinGrana/2018-2019_Trentingrana/2019-01-16/P3a_316_fetta.bmp,2018-2019_Trentingrana,2019-01-16,17,,Fetta,3,a,TN_316,C0L,TG_35,Aroma,panna burro latte cotto e leggero tostato,panna burro latte cotto e leggero tostato,"Aroma di panna, burro, latte cotto e tostato, leggero."
6560,data/images_flat/2018-2019_Trentingrana__2019-01-16__P3a_316_fetta.bmp,data/TrentinGrana/2018-2019_Trentingrana/2019-01-16/P3a_316_fetta.bmp,2018-2019_Trentingrana,2019-01-16,17,,Fetta,3,a,TN_316,C0L,TG_14,Aroma,sentore di brodo di carne e leggemrente di crosta,sentore di brodo di carne e leggemrente di crosta,Aroma di brodo animale e leggermente di crosta.
6561,data/images_flat/2018-2019_Trentingrana__2019-01-16__P3a_316_fetta.bmp,data/TrentinGrana/2018-2019_Trentingrana/2019-01-16/P3a_316_fetta.bmp,2018-2019_Trentingrana,2019-01-16,17,,Fetta,3,a,TN_316,C0L,Q_09,Aroma,vegetale balsamico,vegetale balsamico,Aroma vegetale balsamico.
6562,data/images_flat/2018-2019_Trentingrana__2019-01-16__P3a_316_fetta.bmp,data/TrentinGrana/2018-2019_Trentingrana/2019-01-16/P3a_316_fetta.bmp,2018-2019_Trentingrana,2019-01-16,17,,Fetta,3,a,TN_316,C0L,TG_12,Aroma,legg stantio,leggermente stantio,Aroma leggermente stantio.
6563,data/images_flat/2018-2019_Trentingrana__2019-01-16__P3a_316_fetta.bmp,data/TrentinGrana/2018-2019_Trentingrana/2019-01-16/P3a_316_fetta.bmp,2018-2019_Trentingrana,2019-01-16,17,,Fetta,3,a,TN_316,C0L,TG_13,Aroma,formaggio piacevole ma non e' grana,formaggio piacevole ma non e' grana,Aroma piacevole ma non tipico del grana.
6565,data/images_flat/2018-2019_Trentingrana__2019-01-16__P3a_316_fetta.bmp,data/TrentinGrana/2018-2019_Trentingrana/2019-01-16/P3a_316_fetta.bmp,2018-2019_Trentingrana,2019-01-16,17,,Fetta,3,a,TN_316,C0L,TG_19,Aroma,"nocciola tostato, caramello scuro, tostati decisi, brodo di carne","nocciola tostato, caramello scuro, tostati decisi, brodo di carne","Aroma di nocciola tostata, caramello scuro e brodo di carne."
6566,data/images_flat/2018-2019_Trentingrana__2019-01-16__P3a_316_fetta.bmp,data/TrentinGrana/2018-2019_Trentingrana/2019-01-16/P3a_316_fetta.bmp,2018-2019_Trentingrana,2019-01-16,17,,Fetta,3,a,TN_316,C0L,TG_26,Aroma,difettoso,difettoso,Aroma difettoso.
6567,data/images_flat/2018-2019_Trentingrana__2019-01-16__P3a_316_fetta.bmp,data/TrentinGrana/2018-2019_Trentingrana/2019-01-16/P3a_316_fetta.bmp,2018-2019_Trentingrana,2019-01-16,17,,Fetta,3,a,TN_316,C0L,TG_11,Aroma,crosta di formaggio,crosta di formaggio,Aroma di crosta di formaggio.
6569,data/images_flat/2018-2019_Trentingrana__2019-01-16__P3a_316_fetta.bmp,data/TrentinGrana/2018-2019_Trentingrana/2019-01-16/P3a_316_fetta.bmp,2018-2019_Trentingrana,2019-01-16,17,,Fetta,3,a,TN_316,C0L,TG_20,Texture,"morbida, poco granulosa, poco solubile, buona presenza di microcristalli, leggermente adesiva","morbida, poco granulosa, poco solubile, buona presenza di microcristalli, leggermente adesiva","Texture morbida, poco granulosa, poco solubile, con buona presenza di microcristalli e leggermente adesiva."
6570,data/images_flat/2018-2019_Trentingrana__2019-01-16__P3a_316_fetta.bmp,data/TrentinGrana/2018-2019_Trentingrana/2019-01-16/P3a_316_fetta.bmp,2018-2019_Trentingrana,2019-01-16,17,,Fetta,3,a,TN_316,C0L,TG_35,Texture,"In bocca si sciogli bene, lasciando granelli percettibili, ma piccoli","In bocca si sciogli bene, lasciando granelli percettibili, ma piccoli","Texture che si scioglie bene in bocca, lasciando granelli piccoli e percettibili."
6571,data/images_flat/2018-2019_Trentingrana__2019-01-16__P3a_316_fetta.bmp,data/TrentinGrana/2018-2019_Trentingrana/2019-01-16/P3a_316_fetta.bmp,2018-2019_Trentingrana,2019-01-16,17,,Fetta,3,a,TN_316,C0L,TG_14,Texture,"duro, pasta compatta e poco friabile, grana molto fine, cristalli praticamente assenti, solubile.","duro, pasta compatta e poco friabile, grana molto fine, cristalli praticamente assenti, solubile.","Texture dura, pasta compatta e poco friabile, grana molto fine, cristalli praticamente assenti, solubile."
6572,data/images_flat/2018-2019_Trentingrana__2019-01-16__P3a_316_fetta.bmp,data/TrentinGrana/2018-2019_Trentingrana/2019-01-16/P3a_316_fetta.bmp,2018-2019_Trentingrana,2019-01-16,17,,Fetta,3,a,TN_316,C0L,Q_09,Texture,grana abbastanza evidente pastoso con pochi cristalli lascia residuo,grana abbastanza evidente pastoso con pochi cristalli lascia residuo,"Texture granulosa pastosa, pochi cristalli, lascia residuo."
6574,data/images_flat/2018-2019_Trentingrana__2019-01-16__P3a_316_fetta.bmp,data/TrentinGrana/2018-2019_Trentingrana/2019-01-16/P3a_316_fetta.bmp,2018-2019_Trentingrana,2019-01-16,17,,Fetta,3,a,TN_316,C0L,TG_13,Texture,"poca grana in bocca, pastoso","poca grana in bocca, pastoso",Texture poco granulosa e pastosa.
6575,data/images_flat/2018-2019_Trentingrana__2019-01-16__P3a_316_fetta.bmp,data/TrentinGrana/2018-2019_Trentingrana/2019-01-16/P3a_316_fetta.bmp,2018-2019_Trentingrana,2019-01-16,17,,Fetta,3,a,TN_316,C0L,TG_04,Texture,"cristalli presenti, ma rari. tende al morbido. umido. comunque discreta friabilita'","cristalli presenti, ma rari. tende al morbido. umido. comunque discreta friabilità","Texture con cristalli rari, tendente al morbido, umida e friabile."
6576,data/images_flat/2018-2019_Trentingrana__2019-01-16__P3a_316_fetta.bmp,data/TrentinGrana/2018-2019_Trentingrana/2019-01-16/P3a_316_fetta.bmp,2018-2019_Trentingrana,2019-01-16,17,,Fetta,3,a,TN_316,C0L,TG_19,Texture,"compatto, poco friabile, poco granuloso, adesivo, quasi senza cristalli","compatto, poco friabile, poco granuloso, adesivo, quasi senza cristalli","Texture compatta, poco friabile, poco granulosa, adesiva e quasi senza cristalli."
6577,data/images_flat/2018-2019_Trentingrana__2019-01-16__P3a_316_fetta.bmp,data/TrentinGrana/2018-2019_Trentingrana/2019-01-16/P3a_316_fetta.bmp,2018-2019_Trentingrana,2019-01-16,17,,Fetta,3,a,TN_316,C0L,TG_26,Texture,grana assente molto tenero,grana assente molto tenero,"Texture molto tenera, grana assente."
6578,data/images_flat/2018-2019_Trentingrana__2019-01-16__P3a_316_fetta.bmp,data/TrentinGrana/2018-2019_Trentingrana/2019-01-16/P3a_316_fetta.bmp,2018-2019_Trentingrana,2019-01-16,17,,Fetta,3,a,TN_316,C0L,TG_11,Texture,poco umido,poco umido,Texture poco umida.
6580,data/images_flat/2018-2019_Trentingrana__2019-01-16__P3a_316_fetta.bmp,data/TrentinGrana/2018-2019_Trentingrana/2019-01-16/P3a_316_fetta.bmp,2018-2019_Trentingrana,2019-01-16,17,,Fetta,3,a,TN_316,C0L,Q_09,Spessore della Crosta,"0,8 su un lato e o,6 sull'altro","0,8 su un lato e o,6 sull'altro","Crosta molto sottile, con spessore disomogeneo nei due lati."
6581,data/images_flat/2018-2019_Trentingrana__2019-01-16__P3a_316_fetta.bmp,data/TrentinGrana/2018-2019_Trentingrana/2019-01-16/P3a_316_fetta.bmp,2018-2019_Trentingrana,2019-01-16,17,,Fetta,3,a,TN_316,C0L,TG_04,Spessore della Crosta,"Piatti difformi, uno molto fine è netto. L'altro con crosta sfumata e grossa","Piatti difformi, uno molto fine è netto. L'altro con crosta sfumata e grossa","Crosta con piatti difformi, uno sottile e netto, l'altro con sfumature e spesso."
6582,data/images_flat/2018-2019_Trentingrana__2019-01-16__P3a_316_fetta.bmp,data/TrentinGrana/2018-2019_Trentingrana/2019-01-16/P3a_316_fetta.bmp,2018-2019_Trentingrana,2019-01-16,17,,Fetta,3,a,TN_316,C0L,TG_05,Spessore della Crosta,Regolare,Regolare,Crosta regolare.
6585,data/images_flat/2018-2019_Trentingrana__2019-01-16__P3a_316_fetta.bmp,data/TrentinGrana/2018-2019_Trentingrana/2019-01-16/P3a_316_fetta.bmp,2018-2019_Trentingrana,2019-01-16,17,,Fetta,3,a,TN_316,C0L,TG_13,Spessore della Crosta,"1,2",Media,Crosta mediamente spessa.
6587,data/images_flat/2018-2019_Trentingrana__2019-01-16__P3a_316_fetta.bmp,data/TrentinGrana/2018-2019_Trentingrana/2019-01-16/P3a_316_fetta.bmp,2018-2019_Trentingrana,2019-01-16,17,,Fetta,3,a,TN_316,C0L,TG_19,Spessore della Crosta,9 10,Sottile,Crosta sottile.
6588,data/images_flat/2018-2019_Trentingrana__2019-01-16__P3a_316_fetta.bmp,data/TrentinGrana/2018-2019_Trentingrana/2019-01-16/P3a_316_fetta.bmp,2018-2019_Trentingrana,2019-01-16,17,,Fetta,3,a,TN_316,C0L,TG_20,Spessore della Crosta,Sottile su una faccia,Sottile su una faccia,Crosta sottile su una faccia.
6589,data/images_flat/2018-2019_Trentingrana__2019-01-16__P3a_316_fetta.bmp,data/TrentinGrana/2018-2019_Trentingrana/2019-01-16/P3a_316_fetta.bmp,2018-2019_Trentingrana,2019-01-16,17,,Fetta,3,a,TN_316,C0L,TG_26,Spessore della Crosta,"Media 0,8",Sottile,Crosta sottile.
6590,data/images_flat/2018-2019_Trentingrana__2019-01-16__P3a_316_fetta.bmp,data/TrentinGrana/2018-2019_Trentingrana/2019-01-16/P3a_316_fetta.bmp,2018-2019_Trentingrana,2019-01-16,17,,Fetta,3,a,TN_316,C0L,TG_35,Spessore della Crosta,Sottili,Sottili,Crosta sottile.
6591,data/images_flat/2018-2019_Trentingrana__2019-01-16__P3a_316_fetta.bmp,data/TrentinGrana/2018-2019_Trentingrana/2019-01-16/P3a_316_fetta.bmp,2018-2019_Trentingrana,2019-01-16,17,,Fetta,3,a,TN_316,C0L,Q_09,Struttura della Pasta,Grana abbastanza fine ma con Striature1 strappo di 5 cm cristalli ben visibili e qualche perla di Roma 5 mm,Grana abbastanza fine ma con Striature1 strappo di 5 cm cristalli ben visibili e qualche perla di Roma 5 mm,"Pasta abbastanza fine con striature, uno strappo, cristalli ben visibili e qualche perla."
6592,data/images_flat/2018-2019_Trentingrana__2019-01-16__P3a_316_fetta.bmp,data/TrentinGrana/2018-2019_Trentingrana/2019-01-16/P3a_316_fetta.bmp,2018-2019_Trentingrana,2019-01-16,17,,Fetta,3,a,TN_316,C0L,TG_04,Struttura della Pasta,"1 spacco 3 cm. Buona grana, dotata di finezza. Una certa discrezionalità delle fibre centrale","1 spacco 3 cm. Buona grana, dotata di finezza. Una certa discrezionalità delle fibre centrale","Pasta con uno spacco, buona grana fine e fibre centrali discretamente orientate."
6594,data/images_flat/2018-2019_Trentingrana__2019-01-16__P3a_316_fetta.bmp,data/TrentinGrana/2018-2019_Trentingrana/2019-01-16/P3a_316_fetta.bmp,2018-2019_Trentingrana,2019-01-16,17,,Fetta,3,a,TN_316,C0L,TG_11,Struttura della Pasta,"Frattura regolare,una crepa interna","Frattura regolare,una crepa interna",Pasta con frattura regolare e una crepa interna.
6596,data/images_flat/2018-2019_Trentingrana__2019-01-16__P3a_316_fetta.bmp,data/TrentinGrana/2018-2019_Trentingrana/2019-01-16/P3a_316_fetta.bmp,2018-2019_Trentingrana,2019-01-16,17,,Fetta,3,a,TN_316,C0L,TG_13,Struttura della Pasta,Spacco,Spacco,Pasta con spacco.
6597,data/images_flat/2018-2019_Trentingrana__2019-01-16__P3a_316_fetta.bmp,data/TrentinGrana/2018-2019_Trentingrana/2019-01-16/P3a_316_fetta.bmp,2018-2019_Trentingrana,2019-01-16,17,,Fetta,3,a,TN_316,C0L,TG_14,Struttura della Pasta,"Frattura regolare, pasta all'apparenza compatta e poco grandiosa, fessura","Frattura regolare, pasta all'apparenza compatta e poco grandiosa, fessura","Pasta con frattura regolare, compatta e poco grandiosa, con una fessura."
6598,data/images_flat/2018-2019_Trentingrana__2019-01-16__P3a_316_fetta.bmp,data/TrentinGrana/2018-2019_Trentingrana/2019-01-16/P3a_316_fetta.bmp,2018-2019_Trentingrana,2019-01-16,17,,Fetta,3,a,TN_316,C0L,TG_19,Struttura della Pasta,Strappo evidente,Strappo evidente,Pasta con strappo evidente.
6599,data/images_flat/2018-2019_Trentingrana__2019-01-16__P3a_316_fetta.bmp,data/TrentinGrana/2018-2019_Trentingrana/2019-01-16/P3a_316_fetta.bmp,2018-2019_Trentingrana,2019-01-16,17,,Fetta,3,a,TN_316,C0L,TG_20,Struttura della Pasta,"Frattura ok ma presenza di spacco, grana non molto profilata","Frattura ok ma presenza di spacco, grana non molto profilata","Pasta con frattura regolare ma presenza di spacco, grana non molto profilata."
6600,data/images_flat/2018-2019_Trentingrana__2019-01-16__P3a_316_fetta.bmp,data/TrentinGrana/2018-2019_Trentingrana/2019-01-16/P3a_316_fetta.bmp,2018-2019_Trentingrana,2019-01-16,17,,Fetta,3,a,TN_316,C0L,TG_26,Struttura della Pasta,Grossa fessura grana poco formata stiratura,Grossa fessura grana poco formata stiratura,"Pasta con grossa fessura, grana poco formata e stiratura."
6601,data/images_flat/2018-2019_Trentingrana__2019-01-16__P3a_316_fetta.bmp,data/TrentinGrana/2018-2019_Trentingrana/2019-01-16/P3a_316_fetta.bmp,2018-2019_Trentingrana,2019-01-16,17,,Fetta,3,a,TN_316,C0L,TG_35,Struttura della Pasta,"Evidente sfoglia di 4 cm, frattura regolare","Evidente sfoglia di 4 cm, frattura regolare",Pasta con frattura regolare e sfogliatura evidente.
6602,data/images_flat/2018-2019_Trentingrana__2019-01-16__P3a_316_fetta.bmp,data/TrentinGrana/2018-2019_Trentingrana/2019-01-16/P3a_316_fetta.bmp,2018-2019_Trentingrana,2019-01-16,17,,Fetta,3,a,TN_316,C0L,Q_09,Colore della Pasta,"Alone più scuro che contrasta con un piatto più chiaro, 4 macchie rosate","Alone più scuro che contrasta con un piatto più chiaro, 4 macchie rosate",Pasta con alone più scuro che contrasta con la parte più chiara e qualche macchia rosata.
6603,data/images_flat/2018-2019_Trentingrana__2019-01-16__P3a_316_fetta.bmp,data/TrentinGrana/2018-2019_Trentingrana/2019-01-16/P3a_316_fetta.bmp,2018-2019_Trentingrana,2019-01-16,17,,Fetta,3,a,TN_316,C0L,TG_04,Colore della Pasta,Carico al centro nel tono del giallo,Carico al centro nel tono del giallo,Pasta di colore giallo carico al centro.
