dedup_key,attribute,caption_pre,frequency,sample_row_id
Profumo::molto intenso ma in negativo mi ricorda una essenza come il fieno greco comunque pungente,Profumo,Molto intenso ma in negativo....mi ricorda una essenza come il fieno greco...comunque pungente,4,324
Sapore::equilibrio strano poco carattere,Sapore,"Equilibrio strano, poco carattere",4,325
Texture::leggermente pastoso,Texture,Leggermente pastoso,8,326
Struttura della Pasta::2 fessure,Struttura della Pasta,2 fessure,4,327
Struttura della Pasta::peccato per fessura,Struttura della Pasta,Peccato per fessura,8,328
Struttura della Pasta::due piccole fessure da 1 cm,Struttura della Pasta,Due piccole fessure da 1 cm,4,329
Sapore::pungente in bocca,Sapore,Pungente in bocca,4,330
Texture::controverso,Texture,Controverso,4,331
Spessore della Crosta::colore sotto crosta meno carico su un piatto,Spessore della Crosta,Colore sotto crosta meno carico su un piatto,4,332
Struttura della Pasta::tagliata storta tante scaglie,Struttura della Pasta,Tagliata storta tante scaglie,4,333
Struttura della Pasta::striata al centro,Struttura della Pasta,Striata al centro,4,334
Struttura della Pasta::fessura centrale di 3 cm,Struttura della Pasta,Fessura centrale di 3 cm,4,335
Sapore::poco intenso,Sapore,Poco intenso...,8,348
Aroma::burro cotto,Aroma,Burro cotto,22,349
Aroma::persistente,Aroma,Persistente,4,350
Struttura della Pasta::microcchiature molto diffusa un grappolo di occhi frattura strana,Struttura della Pasta,Microcchiature molto diffusa un grappolo di occhi frattura strana,4,351
Struttura della Pasta::pessima,Struttura della Pasta,Pessima,8,352
Struttura della Pasta::occhio da 1 cm microocchiatura diffusa su tutta la superficie fessure di 1 e 2 cm,Struttura della Pasta,"Occhio da 1 cm, microocchiatura diffusa su tutta la superficie, fessure di 1 e 2 cm",4,353
Profumo::all'apertura odore stagnante poi non si sente,Profumo,All'apertura odore stagnante poi non si sente,4,452
Sapore::un pochetto amaro umami latitante,Sapore,Un pochetto amaro. Umami latitante,4,454
Struttura della Pasta::un grosso occhio,Struttura della Pasta,Un grosso occhio,4,455
Struttura della Pasta::leggera la microocchiatura,Struttura della Pasta,Leggera la Microocchiatura,4,456
Colore della Pasta::fascia più chiara,Colore della Pasta,Fascia più chiara,4,457
Profumo::non buono,Profumo,Non buono,4,458
Sapore::non ci siamo,Sapore,Non ci siamo,4,459
Aroma::aggressivo e persistente,Aroma,Aggressivo e persistente !!!,4,460
Texture::pessima,Texture,Pessima,4,461
Struttura della Pasta::microcchiature minime,Struttura della Pasta,Microcchiature minime,4,462
Struttura della Pasta::rada microocchiatura,Struttura della Pasta,Rada microocchiatura,4,463
Colore della Pasta::macchia rosa centrale abbastanza grande,Colore della Pasta,Macchia rosa centrale abbastanza grande,4,464
Profumo::complesso e piacevole,Profumo,Complesso e piacevole,4,465
Profumo::gomma,Profumo,gomma,4,466
Sapore::contrasto dolce amaro,Sapore,Contrasto dolce amaro,4,467
Texture::leggermente asciutto,Texture,Leggermente asciutto,56,468
Colore della Pasta::alone centrale rosato,Colore della Pasta,Alone centrale rosato,20,469
Colore della Pasta::alone leggero,Colore della Pasta,Alone leggero,18,470
Sapore::scarno non pieno,Sapore,"Scarno, non pieno",12,490
Sapore::leggermente acre in gola,Sapore,Leggermente acre in gola,4,491
Texture::media solvibilità e friabilità,Texture,Media solvibilità e friabilità,4,492
Struttura della Pasta::sotto un piatto effetto a scaglie,Struttura della Pasta,Sotto un piatto effetto a scaglie,4,493
Struttura della Pasta::stirata al centro,Struttura della Pasta,Stirata al centro,12,494
Struttura della Pasta::il centro è striato,Struttura della Pasta,Il centro è striato,4,495
Colore della Pasta::alone molto evidente arancio rosato,Colore della Pasta,Alone molto evidente arancio rosato,4,496
Colore della Pasta::alone netto e concentrato al cuore,Colore della Pasta,Alone netto e concentrato al cuore,4,497
Profumo::profumo fresco,Profumo,Profumo fresco,4,498
Profumo::peccato presenza nota polverosa,Profumo,Peccato presenza nota polverosa,4,499
Aroma::crosta cotta,Aroma,Crosta cotta,4,500
Aroma::non equilibrato,Aroma,Non equilibrato,4,501
Texture::strana consistenza,Texture,Strana consistenza,4,502
Struttura della Pasta::occhietti diffusi più verso esterno interno so,Struttura della Pasta,Occhietti diffusi più verso esterno interno so,4,503
Struttura della Pasta::microocchiatura anche sulla crosta,Struttura della Pasta,Microocchiatura anche sulla crosta,4,504
Struttura della Pasta::microocchiatura anche nella crosta,Struttura della Pasta,Microocchiatura anche nella crosta,4,505
Struttura della Pasta::senza struttura,Struttura della Pasta,Senza struttura,4,506
Profumo::qualcosa di non ottimale che non so definire,Profumo,Qualcosa di non ottimale che non so definire,4,508
Aroma::crosta meno fastidiosa che al profumo,Aroma,Crosta meno fastidiosa che al profumo,4,509
Aroma::anche leggera ossidazione,Aroma,Anche leggera ossidazione,4,510
Texture::interessante anche se asciutta,Texture,Interessante anche se asciutta,4,511
Struttura della Pasta::area centrale verso un sottopiatto ruvida tipo carta vetro,Struttura della Pasta,Area centrale verso un sottopiatto ruvida TIPO CARTA VETRO,4,512
Struttura della Pasta::microcchiature laterale,Struttura della Pasta,Microcchiature laterale,4,513
Struttura della Pasta::forte microocchiatura su un lato,Struttura della Pasta,Forte microocchiatura su un lato,4,514
Struttura della Pasta::struttura bella ma disomogenea con una grossa parte microcchiata,Struttura della Pasta,Struttura bella ma disomogenea con una grossa parte microcchiata,4,515
Struttura della Pasta::va abbassato il voto di 1 sembra sabbia bagnata una parte però bella,Struttura della Pasta,Va abbassato il voto di 1! Sembra sabbia bagnata. Una parte però bella,4,516
Struttura della Pasta::la forma se ora divisa esattamente in 3 parti due con grana fine ed omogenea una con microocchiatura evident4 che la sembrate spugnosa,Struttura della Pasta,"La forma se!ora divisa esattamente in 3 parti, due con grana fine ed omogenea, una con microocchiatura evident4 che la sembrate spugnosa",4,517
Colore della Pasta::abbastanza omogenea,Colore della Pasta,abbastanza omogenea,8,518
Profumo::alla prima olfazione odore anomalo di altro formaggio quantomeno,Profumo,"Alla prima olfazione odore anomalo, di altro formaggio quantomeno.",4,692
Sapore::amaro e salato prevalenti,Sapore,Amaro e salato prevalenti,4,693
Sapore::leggere sensazioni di amaro e piccante,Sapore,Leggere sensazioni di amaro e piccante!,4,694
Texture::scricchiola ma non per cristalli,Texture,Scricchiola ma non per cristalli,4,695
Struttura della Pasta::presenza di un occhio da 5 mm,Struttura della Pasta,Presenza di un occhio da 5 mm,4,696
Struttura della Pasta::un singolo occhio di circa 5mm,Struttura della Pasta,Un singolo occhio di circa 5mm,4,697
Profumo::liquirizia,Profumo,Liquirizia,24,704
Sapore::appena troppo salato,Sapore,Appena troppo salato,4,705
Aroma::persistenza elevata,Aroma,Persistenza elevata,4,706
Texture::solo leggermente asciutto o pastoso,Texture,Solo leggermente asciutto o pastoso,4,707
Struttura della Pasta::frattura centrale di 6_7 cm,Struttura della Pasta,Frattura centrale di 6_7 cm,4,708
Struttura della Pasta::grossa fessura centrale,Struttura della Pasta,Grossa fessura centrale,4,710
Struttura della Pasta::peccato per fratturavevidente,Struttura della Pasta,Peccato per fratturavevidente,4,711
Struttura della Pasta::fessura centrale di 6 cm,Struttura della Pasta,Fessura centrale di 6 cm,4,712
Colore della Pasta::alone molto evidente,Colore della Pasta,Alone molto evidente,4,713
Sapore::non dolce un pochetto troppo salato,Sapore,Non dolce. Un pochetto troppo salato,4,724
Aroma::non piacevole persisrente,Aroma,Non piacevole persisrente,4,725
Texture::ingrossa un pochetto,Texture,Ingrossa un pochetto,4,726
Texture::molto compatto,Texture,Molto compatto,12,727
Spessore della Crosta::un sottocrosta tendente al verde,Spessore della Crosta,Un sottocrosta tendente al verde,4,728
Struttura della Pasta::parte centrale non strutturata,Struttura della Pasta,Parte centrale non strutturata,4,729
Profumo::polvere pungente,Profumo,"Polvere, pungente",4,730
Profumo::peccato per bruciato,Profumo,Peccato per bruciato,8,731
Sapore::troppo sale,Sapore,Troppo sale,20,732
Sapore::solo un poco' sapido,Sapore,Solo un poco' sapido.,4,733
Spessore della Crosta::>1cm,Spessore della Crosta,>1cm,4,734
Struttura della Pasta::sotto un piatto molte piccole fratture,Struttura della Pasta,Sotto un piatto molte piccole fratture,8,735
Colore della Pasta::non paglierino ma chiaro,Colore della Pasta,"Non paglierino, ma chiaro",8,736
Profumo::yogurt alla frutta,Profumo,Yogurt alla frutta,4,808
Sapore::leggero piccante e sapido,Sapore,Leggero piccante e sapido,4,809
Aroma::lievissimo,Aroma,Lievissimo,8,810
Texture::ingozza nel finale,Texture,ingozza nel finale,4,811
Texture::bella struttura,Texture,Bella struttura,4,812
Struttura della Pasta::nel commento sottoscala disidratato intendo disidratazione però più nei piatti,Struttura della Pasta,Nel commento sottoscala disidratato intendo disidratazione però più nei piatti,4,813
Colore della Pasta::non proprio paglierino,Colore della Pasta,Non proprio paglierino,12,814
Profumo::kiwi,Profumo,Kiwi...,12,822
Aroma::nota citrica,Aroma,Nota citrica,4,823
Aroma::cioccolata,Aroma,Cioccolata,4,824
Texture::solo un poco’ tenero,Texture,solo un poco’ tenero,4,825
Texture::leggermente tenero ma bella struttura,Texture,Leggermente tenero ma bella struttura,4,826
Struttura della Pasta::peccato la frattura,Struttura della Pasta,Peccato la frattura,4,827
Sapore::non dolce,Sapore,Non dolce,32,828
Sapore::amaro il retrogusto e dolce come i bresso,Sapore,Amaro il retrogusto e dolce come i Bresso!,4,829
Aroma::nocciola piacevole,Aroma,Nocciola piacevole,4,830
Struttura della Pasta::molto irregolare struttura dall'inesistente al grossolano,Struttura della Pasta,Molto irregolare. Struttura dall'inesistente al grossolano,4,831
Struttura della Pasta::poca grana,Struttura della Pasta,Poca grana,8,832
Struttura della Pasta::zone spagnole molto estese al centro della forma,Struttura della Pasta,Zone spagnole molto estese al centro della forma,4,833
Colore della Pasta::sotto un piatto zona di pasta disidratata,Colore della Pasta,Sotto un piatto zona di pasta disidratata,4,834
Sapore::non grana,Sapore,Non grana,12,848
Sapore::leggera prevalenza,Sapore,Leggera prevalenza,4,849
Aroma::molto leggero,Aroma,Molto leggero,4,850
Struttura della Pasta::pessima la parte centrale,Struttura della Pasta,Pessima la parte centrale,4,852
Struttura della Pasta::poco granulosa,Struttura della Pasta,Poco granulosa,16,853
Struttura della Pasta::fessure leggere stirata,Struttura della Pasta,Fessure leggere! Stirata?,4,854
Profumo::funghi,Profumo,Funghi,4,863
Profumo::peccato per leggera nota bruciata,Profumo,Peccato per leggera nota bruciata,4,865
Sapore::riequilibrare nel complesso senza prevalenza forse note acide,Sapore,Riequilibrare nel complesso senza prevalenza... Forse note acide!,4,866
Aroma::funghi non gradevole e lievi,Aroma,"Funghi, non gradevole e lievi",4,867
Aroma::medio,Aroma,Medio!,4,868
Texture::compatto,Texture,Compatto,90,869
Colore della Pasta::riflessi verdognoli,Colore della Pasta,Riflessi verdognoli,4,870
Profumo::lievi intensità,Profumo,Lievi intensità,4,871
Profumo::alcol,Profumo,Alcol,8,872
Aroma::lieve,Aroma,Lieve,12,873
Texture::molto tenero,Texture,Molto tenero,12,874
Struttura della Pasta::lieve ma non trascurabile la micro occhiatura peccato,Struttura della Pasta,"Lieve, ma non trascurabile la micro occhiatura . Peccato",4,875
Struttura della Pasta::microocchiatura appena visibile,Struttura della Pasta,Microocchiatura appena visibile,4,876
Colore della Pasta::paglierino,Colore della Pasta,Paglierino,24,877
Colore della Pasta::leggero alone verso un piatto,Colore della Pasta,Leggero alone verso un piatto,4,878
Aroma::non apprezzabile,Aroma,Non apprezzabile,4,985
Struttura della Pasta::mezza forma anche bellina l'altra metà un disastro,Struttura della Pasta,Mezza forma anche bellina. L'altra metà un disastro,4,986
Struttura della Pasta::divisa a metà una parte grana grossa regolare una stirata con occhi fessure,Struttura della Pasta,"Divisa a metà, una parte grana grossa regolare una stirata con occhi, fessure",4,987
Struttura della Pasta::molti piccoli occhi da circa 3 4 mm perlopiù su meta forma,Struttura della Pasta,Molti piccoli occhi da circa 3-4 mm perlopiù su meta forma,4,988
Profumo::elegante kiwi,Profumo,Elegante... Kiwi,4,989
Sapore::equilibrato con note anche dolci,Sapore,Equilibrato con note anche dolci,8,990
Colore della Pasta::appena più saturo verso il centro poco poco,Colore della Pasta,Appena più saturo verso il centro. Poco poco,4,992
Colore della Pasta::aree verdi e grigie ma limitatissima,Colore della Pasta,Aree verdi e grigie ma limitatissima,4,993
Sapore::amaro,Sapore,Amaro,96,1004
Texture::ingozza,Texture,Ingozza,40,1005
Spessore della Crosta::unghia molto ampia,Spessore della Crosta,Unghia molto ampia,4,1006
Colore della Pasta::un poco' saturo come giallo,Colore della Pasta,Un poco' saturo come giallo,4,1007
Profumo::muschio,Profumo,Muschio,4,1008
Aroma::non piacevole,Aroma,Non piacevole!!!,36,1009
Texture::lega in bocca,Texture,Lega in bocca!,4,1010
Struttura della Pasta::microocchiatura,Struttura della Pasta,Microocchiatura,28,1011
Struttura della Pasta::grande area spinosa che copre la parte centrale del formggio,Struttura della Pasta,Grande area spinosa che copre la parte centrale del formggio,4,1012
Colore della Pasta::più carico in centro non vero e proprio alone,Colore della Pasta,"Più carico in centro, non vero e proprio alone",4,1013
Sapore::tanto umano troppo,Sapore,"Tanto umano, troppo",4,1015
Sapore::bruciante,Sapore,Bruciante,28,1016
Struttura della Pasta::piccole fessure sotto un piatto,Struttura della Pasta,Piccole fessure sotto un piatto,4,1017
Struttura della Pasta::bella ma variamente microocchiata,Struttura della Pasta,Bella ma variamente microocchiata,4,1018
Struttura della Pasta::fessure,Struttura della Pasta,Fessure!!!!,12,1019
Colore della Pasta::aree grigiastro sotto i piatti,Colore della Pasta,Aree grigiastro sotto i piatti,4,1021
Profumo::intensità moderata,Profumo,Intensità moderata,24,1022
Sapore::non dolce salato e amaro spiccano un poco,Sapore,Non dolce. Salato e amaro spiccano un poco,4,1023
Sapore::leggermente prevalenti,Sapore,Leggermente prevalenti,4,1024
Struttura della Pasta::microocchiature in striscia sottile,Struttura della Pasta,Microocchiature in striscia sottile,4,1025
Struttura della Pasta::spacchi fessure su una parte della forma rovinano una struttura che sarebbe buona,Struttura della Pasta,Spacchi fessure su una parte della forma rovinano una struttura che sarebbe buona,4,1026
Struttura della Pasta::disidratazione e qualche fessura,Struttura della Pasta,Disidratazione e qualche fessura!!!,4,1027
Profumo::oggi sono raffreddato,Profumo,Oggi sono raffreddato,4,1120
Profumo::sentore di urina,Profumo,Sentore di urina...,4,1121
Sapore::un poco' piatto non saporito,Sapore,Un poco' piatto non saporito,4,1123
Spessore della Crosta::negli scalzi,Spessore della Crosta,Negli scalzi,4,1124
Struttura della Pasta::anche un poco' irregolare la frattura,Struttura della Pasta,Anche un poco' irregolare la frattura,4,1125
Colore della Pasta::alone centrale tendente al rosa pompelmo,Colore della Pasta,Alone centrale tendente al rosa pompelmo,4,1126
Profumo::kiwi e bruciato,Profumo,"Kiwi,,,e bruciato?",4,1127
Sapore::leggero umami respiro,Sapore,Leggero umami respiro...,4,1128
Aroma::polvere,Aroma,Polvere!!!!,20,1129
Struttura della Pasta::fitta microocchiatura centrale con piccoli strappi,Struttura della Pasta,Fitta microocchiatura centrale con piccoli strappi,4,1130
Struttura della Pasta::grossa fenditura centrale,Struttura della Pasta,Grossa fenditura centrale,4,1131
Colore della Pasta::2 fascia longitudinali di colore differente,Colore della Pasta,2 fascia longitudinali di colore differente,4,1132
Profumo::sento poco non so se perché raffreddato o perché povero il fromage,Profumo,Sento poco. Non so se perché raffreddato o perché povero il fromage,4,1133
Sapore::brucia la lingua,Sapore,Brucia la lingua,4,1134
Sapore::anche notevoli equilibrato,Sapore,Anche notevoli! Equilibrato,4,1135
Aroma::frutta secca=mandorla amara,Aroma,Frutta secca=mandorla amara,4,1136
Spessore della Crosta::bei piatti,Spessore della Crosta,Bei piatti,8,1137
Struttura della Pasta::grossolani disomogeneo,Struttura della Pasta,Grossolani disomogeneo,4,1138
Colore della Pasta::leggera area verdastra,Colore della Pasta,Leggera area verdastra,4,1139
Aroma::si vi avevo detto che sono raffreddato nel mangiarlo e nel sentire l'aroma mi è arrivata un sentore non tipico di formaggio grana chiamo gorgonzola,Aroma,"Si, vi avevo detto che sono raffreddato. Nel mangiarlo e nel sentire l'aroma mi è arrivata un sentore non tipico di formaggio grana, chiamo gorgonzola",4,1141
Spessore della Crosta::fine,Spessore della Crosta,Fine!,12,1143
Struttura della Pasta::struttura immatura disomogenea non compiuta,Struttura della Pasta,"Struttura immatura, disomogenea, non compiuta",4,1144
Struttura della Pasta::1 fessura piccolal,Struttura della Pasta,1 fessura piccolal,4,1145
Colore della Pasta::alone lievissimo o ossidazione,Colore della Pasta,Alone lievissimo o ossidazione,4,1146
Profumo::non so se ho scritto che son raffreddato,Profumo,Non so se ho scritto che son raffreddato,4,1147
Profumo::leggero sentore di bruciato e stalla all'inizio,Profumo,Leggero sentore di bruciato e stalla all'inizio!,4,1148
Sapore::forse un poco' di piccante in eccesso,Sapore,Forse un poco' di piccante in eccesso,4,1149
Aroma::acciuga e salamoia leggere,Aroma,Acciuga e salamoia leggere,4,1150
Struttura della Pasta::struttura non riuscita,Struttura della Pasta,Struttura non riuscita,4,1151
Struttura della Pasta::anche leggera striatura,Struttura della Pasta,Anche leggera striatura,4,1152
Texture::leggermente duro e schioccante,Texture,Leggermente duro e schioccante,4,1154
Struttura della Pasta::sotto un piatto piccole fratture in serie,Struttura della Pasta,Sotto un piatto piccole fratture in serie,4,1155
Struttura della Pasta::microocchiatura particolarmente presente in una zona e in un angolo nel sottocrosta,Struttura della Pasta,"Microocchiatura particolarmente presente in una zona e in un angolo, nel Sottocrosta",4,1156
Colore della Pasta::macchie rosate al centro,Colore della Pasta,Macchie rosate al centro,4,1157
Profumo::sentore da stalla iniziale che poi sparisce,Profumo,Sentore da stalla iniziale...che poi sparisce,4,1272
Sapore::punge la lingua penso sale,Sapore,Punge la lingua. Penso sale,4,1273
Aroma::buona intensità aromatica,Aroma,Buona intensità aromatica,4,1274
Struttura della Pasta::tende allo stirato,Struttura della Pasta,Tende allo stirato,4,1275
Struttura della Pasta::una piccola zona con grana molto fine,Struttura della Pasta,Una piccola zona con grana molto fine,4,1276
Colore della Pasta::alone centrale lievissimo,Colore della Pasta,Alone centrale lievissimo,4,1277
Sapore::manca di pienezza scarno,Sapore,Manca di pienezza. Scarno,4,1278
Sapore::leggero amaro peccato,Sapore,"Leggero amaro ,,peccato!",4,1279
Texture::difetto é che troppo tenero,Texture,Difetto é che troppo tenero,4,1280
Spessore della Crosta::belli piatti meno ali scalzi,Spessore della Crosta,"Belli piatti, meno ali scalzi",4,1281
Struttura della Pasta::abbastanza regolare ed omogenea,Struttura della Pasta,Abbastanza regolare ed omogenea,4,1282
Colore della Pasta::colore dato dal sottocrosta,Colore della Pasta,Colore dato dal sottocrosta,4,1283
Profumo::tanta nanna ma nota di formaggio non trentingrana,Profumo,"Tanta nanna, ma nota di formaggio non trentingrana",4,1284
Texture::un poco duro,Texture,Un poco duro,4,1286
Struttura della Pasta::a tratti quasi fine ma in altri punti grana non sviluppata 1 fessura solo,Struttura della Pasta,"A tratti quasi fine, ma in altri punti grana non sviluppata. 1 fessura solo",4,1287
Colore della Pasta::alone centrale rosato e striscia rosa abbastanza marcata sempre al centro,Colore della Pasta,"Alone centrale rosato e striscia rosa abbastanza marcata, sempre al centro",4,1288
Profumo::nocciola,Profumo,NOcciola,20,1289
Sapore::sgraziato troppo amaro,Sapore,Sgraziato. Troppo amaro,4,1290
Sapore::piccola venatura amara nel finale,Sapore,Piccola venatura amara nel finale,4,1291
Struttura della Pasta::striata al centro più riuscita altrove per me mai fine,Struttura della Pasta,"Striata al centro . Più riuscita altrove, per me mai fine",4,1292
Struttura della Pasta::presenza di qualche piccolissimo occhio,Struttura della Pasta,Presenza di qualche piccolissimo occhio,4,1293
Colore della Pasta::in una pasta giallo carica macchie o alone nocciola,Colore della Pasta,In una pasta giallo carica macchie o alone nocciola,4,1294
Colore della Pasta::alone centrale rosato e un paio di punti neri dati da sporcizia( ),Colore della Pasta,Alone centrale rosato e un paio di punti neri dati da sporcizia(?),4,1295
Sapore::amaro domina,Sapore,Amaro domina,4,1296
Texture::poco solubile e asciutto in gola,Texture,Poco solubile e asciutto in gola,4,1297
