dedup_key,attribute,caption_pre,caption_clean,frequency,sample_row_id,error
Colore della Pasta::abbastanza omogeneo giallo chiaro ai bordi lievemente più carico il centro,Colore della Pasta,"Abbastanza omogeneo, giallo chiaro ai bordi. Lievemente più carico il centro","Pasta di colore abbastanza omogeneo, giallo chiaro ai bordi e lievemente più carico al centro.",4,27482,
Colore della Pasta::disomogeneo più scuro da un lato,Colore della Pasta,Disomogeneo più scuro da un lato,"Pasta di colore disomogeneo, più scura da un lato.",4,30854,
Colore della Pasta::base chiara ma disomogenea con chiazze più scure,Colore della Pasta,Base chiara ma disomogenea con chiazze più scure,"Pasta di colore chiaro ma disomogeneo, con chiazze più scure.",4,15643,
Colore della Pasta::alone centrale scuro macchia rosa su occhio,Colore della Pasta,Alone centrale scuro macchia rosa su occhio,Pasta con alone centrale scuro e macchia rosa su occhio.,4,13899,
Colore della Pasta::giallo abbastanza carico omogeneo,Colore della Pasta,"Giallo abbastanza carico, omogeneo",Pasta di colore giallo abbastanza carico e omogeneo.,4,16941,
Colore della Pasta::presenza di una macchia rosata,Colore della Pasta,Presenza di una macchia rosata,Pasta con macchia rosata.,10,2165,
Colore della Pasta::carico alone centrale,Colore della Pasta,Carico alone centrale,Pasta di colore carico con alone centrale.,4,42631,
Colore della Pasta::bello ma con zone rosastre verso la crosta,Colore della Pasta,"Bello, ma con zone rosastre verso la crosta",Pasta con zone rosastre verso la crosta.,4,14178,
Colore della Pasta::presente evidente striscia rosa,Colore della Pasta,Presente evidente striscia rosa,Pasta con evidente striscia rosa.,4,47233,
Colore della Pasta::bello abbastanza omogeneo,Colore della Pasta,"Bello, abbastanza omogeneo",Pasta di colore abbastanza omogeneo.,4,21702,
Colore della Pasta::grigio verdastro con alone giallo,Colore della Pasta,Grigio verdastro con alone giallo,Pasta di colore grigio verdastro con alone giallo.,4,33894,
Colore della Pasta::colore carico con alone,Colore della Pasta,Colore carico con alone,Pasta di colore carico con alone.,4,18320,
Colore della Pasta::piuttosto carico ma omogeneo presenza di piccola macchia rosa,Colore della Pasta,"Piuttosto carico ma omogeneo, presenza di piccola macchia rosa","Pasta di colore piuttosto carico e omogeneo, con piccola macchia rosa.",4,26115,
Colore della Pasta::alone più chiaro,Colore della Pasta,Alone più chiaro,Pasta con alone più chiaro.,4,44351,
Colore della Pasta::chiaro ma per effetto spugna,Colore della Pasta,Chiaro ma per effetto spugna,Pasta di colore chiaro per effetto della spugna.,4,23929,
Colore della Pasta::più saturo al centro,Colore della Pasta,Più saturo al centro,Pasta di colore più saturo al centro.,4,3335,
Colore della Pasta::nocciola al centro,Colore della Pasta,Nocciola al centro,Pasta di colore nocciola al centro.,4,5529,
Colore della Pasta::fascia rossa sotto scalzo,Colore della Pasta,Fascia rossa sotto scalzo,Pasta con fascia rossa sotto scalzo.,4,51110,
Colore della Pasta::giallo carico al centro e più chiara verso un piatto zone grigiastre,Colore della Pasta,"Giallo carico al centro e più chiara verso un piatto,zone grigiastre","Pasta di colore giallo carico al centro, più chiara verso il piatto, con zone grigiastre.",4,35855,
Colore della Pasta::alone rosato molto carico,Colore della Pasta,Alone rosato molto carico,Pasta con alone rosato molto carico.,8,1735,
Colore della Pasta::deciso alone centrale aranciato,Colore della Pasta,Deciso alone centrale aranciato,Pasta con deciso alone centrale aranciato.,4,25729,
Colore della Pasta::circa al carico,Colore della Pasta,Circa al carico..,Pasta di colore carico.,4,4261,
Colore della Pasta::chiaro e unif,Colore della Pasta,Chiaro e unif,Pasta di colore chiaro e uniforme.,4,21693,
Colore della Pasta::alone centrale e 1 dei 2 sottoposto bianco,Colore della Pasta,Alone centrale e 1 dei 2 sottoposto bianco,Pasta con alone centrale e una delle due zone sottocroste bianca.,4,44764,
Colore della Pasta::chiaro con leggero alone centrale,Colore della Pasta,Chiaro con leggero alone centrale,Pasta di colore chiaro con leggero alone centrale.,4,18942,
Colore della Pasta::paglierino carico con alone più scuro al centro,Colore della Pasta,Paglierino carico con alone più scuro al centro,Pasta di colore paglierino carico con alone più scuro al centro.,4,9993,
Colore della Pasta::presenza di una potenziale macchia al centro non considerata nel voto perché nascosta dal taglio a coltello,Colore della Pasta,Presenza di una potenziale macchia al centro NON CONSIDERATA NEL VOTO perché nascosta dal taglio a coltello,Pasta con potenziale macchia al centro.,4,49661,
Colore della Pasta::non uniforme grosso alone scuro,Colore della Pasta,Non uniforme grosso alone scuro,Pasta con grosso alone scuro e colore non uniforme.,4,13759,
Colore della Pasta::abbastanza omogenea con giallo tendente al carico verso la crosta aree nocciola arancio,Colore della Pasta,Abbastanza omogenea con giallo tendente al carico. Verso la crosta aree nocciola arancio,"Pasta abbastanza omogenea di giallo tendente al carico, con aree nocciola arancio verso la crosta.",4,9403,
Colore della Pasta::pallido,Colore della Pasta,Pallido,Pasta di colore pallido.,4,1446,
Colore della Pasta::fascia più chiara sotto un piatto,Colore della Pasta,Fascia più chiara sotto un piatto,Pasta con fascia più chiara sotto la zona piatta.,4,9479,
Colore della Pasta::bel colore,Colore della Pasta,Bel colore!,NON_DESCRITTO,10,1972,
Colore della Pasta::colore carico aranciato,Colore della Pasta,"Colore carico, aranciato",Pasta di colore carico e aranciato.,4,27415,
Colore della Pasta::leggermente sfumato verso l'esterno,Colore della Pasta,Leggermente sfumato verso l'esterno,Pasta con lieve sfumatura di colore verso l'esterno.,4,41132,
Colore della Pasta::omogeneo chiaro quasi paglierino,Colore della Pasta,Omogeneo. Chiaro quasi paglierino,"Pasta di colore omogeneo, chiaro e quasi paglierino.",4,42694,
Colore della Pasta::al centro e verso 1 piatto più carico,Colore della Pasta,Al centro e verso 1 piatto più carico,Pasta con colore più carico al centro e verso un piatto.,4,5833,
Colore della Pasta::leggero alone centrale,Colore della Pasta,Leggero alone centrale,Pasta con leggero alone centrale.,40,29,
Colore della Pasta::alone centrale più intenso,Colore della Pasta,Alone centrale più intenso,Pasta con alone centrale intenso.,4,44179,
Colore della Pasta::1/3 più chiaro,Colore della Pasta,1/3 più chiaro,Pasta con una parte più chiara.,4,2391,
Colore della Pasta::non troppo carico e omogeneo,Colore della Pasta,Non troppo carico e omogeneo,Pasta di colore non troppo carico e omogeneo.,4,42838,
Colore della Pasta::alone giallo nocciola centrale ai bordi più chiaro,Colore della Pasta,"Alone giallo nocciola centrale, ai bordi più chiaro",Pasta con alone giallo nocciola centrale e colore più chiaro ai bordi.,4,51945,
Colore della Pasta::chiaro,Colore della Pasta,Chiaro,Pasta di colore chiaro.,12,30661,
Colore della Pasta::molto carico ma omogeneo,Colore della Pasta,"Molto carico, ma omogeneo","Pasta di colore molto carico, omogeneo.",8,26193,
Colore della Pasta::non omogenea presenza di macchie gialle più accentuate alone centrale non carico,Colore della Pasta,Non omogenea Presenza di macchie gialle più accentuate Alone centrale non carico,Pasta non omogenea con macchie gialle accentuate e alone centrale non carico.,4,15642,
Colore della Pasta::abbastanza omogeneo ma carico,Colore della Pasta,Abbastanza omogeneo ma carico,Pasta di colore abbastanza omogeneo ma carico.,12,12987,
Colore della Pasta::colore molto marcato mogeneo,Colore della Pasta,Colore molto marcato mogeneo,Pasta di colore molto marcato e omogeneo.,4,18325,
Colore della Pasta::colore chiaro omogeneo,Colore della Pasta,Colore chiaro omogeneo,Pasta di colore chiaro omogeneo.,8,18787,
Colore della Pasta::gessato,Colore della Pasta,Gessato,Pasta dal colore gessato.,4,42905,
Colore della Pasta::non molto carico abbastanza omogeneo,Colore della Pasta,"Non molto carico, abbastanza Omogeneo","Pasta di colore non molto carico, abbastanza omogenea.",4,35677,
Colore della Pasta::colore paglierino abbastanza carico con zone più scure,Colore della Pasta,Colore paglierino abbastanza carico con zone più scure,Pasta di colore paglierino abbastanza carico con zone più scure.,4,36957,
Colore della Pasta::leggermente degradante tra i 2 piatti,Colore della Pasta,Leggermente degradante tra i 2 piatti,Pasta con leggera sfumatura di colore tra centro e bordi.,4,6070,
Colore della Pasta::da giallo chiaro a carico verso il centro alone,Colore della Pasta,"Da giallo chiaro a carico verso il centro, alone",Pasta da colore giallo chiaro a giallo carico verso il centro con alone.,4,27416,
Colore della Pasta::alone leggerissimo,Colore della Pasta,Alone leggerissimo,Pasta con alone leggerissimo.,12,3868,
Colore della Pasta::colore carico sganciato ma uniforme,Colore della Pasta,Colore carico sganciato ma uniforme,Pasta di colore carico e uniforme.,4,27831,
Colore della Pasta::tende al giallo chiaro,Colore della Pasta,Tende al giallo chiaro.,Pasta tendente al giallo chiaro.,4,9487,
Colore della Pasta::omogenea presenza dicristalli bianchi evidenti,Colore della Pasta,Omogenea presenza dicristalli bianchi evidenti,"Pasta con presenza di cristalli bianchi evidenti, omogenea.",4,15425,
Colore della Pasta::non omogeneo alone e striscia rosa,Colore della Pasta,"Non omogeneo, alone e striscia rosa","Pasta con colore non omogeneo, alone e striscia rosa.",4,33742,
Colore della Pasta::grana fine frattura regolare,Colore della Pasta,Grana fine frattura regolare,NON_DESCRITTO,4,24357,
Colore della Pasta::alone centrale più chiara sotto un piatto e uno scalzo,Colore della Pasta,"Alone centrale, più chiara sotto un piatto e uno scalzo","Pasta con alone centrale, più chiara nelle zone sotto un piatto e uno scalzo.",4,44688,
Colore della Pasta::abbastanza omogeneo ma carico una macchia,Colore della Pasta,"Abbastanza omogeneo ma carico, una macchia","Pasta abbastanza omogenea ma di colore carico, con una macchia.",4,5605,
Colore della Pasta::chiaro ma tendente al grigio uniforme con leggera sfumatura risata al centro,Colore della Pasta,Chiaro ma tendente al grigio uniforme con leggera sfumatura risata al centro,"Pasta di colore chiaro tendente al grigio, uniforme con leggera sfumatura rosata al centro.",4,35730,
Colore della Pasta::giallo abbastanza chiaro con leggere sfumature rosate,Colore della Pasta,Giallo abbastanza chiaro con leggere sfumature rosate,Pasta di colore giallo abbastanza chiaro con leggere sfumature rosate.,4,17403,
Colore della Pasta::omogenea e intensa,Colore della Pasta,Omogenea e intensa,Pasta di colore omogeneo e intenso.,4,35736,
Colore della Pasta::alone più verso un piatto che centrale,Colore della Pasta,Alone più verso un piatto che centrale,Pasta con alone tendente al piatto piuttosto che centrale.,4,48669,
Colore della Pasta::uniforme giallo,Colore della Pasta,Uniforme giallo,Pasta di colore giallo uniforme.,4,26194,
Colore della Pasta::bel colore abbastanza omogeneo carico con lievi note rosate,Colore della Pasta,"Bel colore, abbastanza omogeneo, carico, con lievi note rosate","Pasta di colore carico, abbastanza omogeneo, con lievi note rosate.",4,21793,
Colore della Pasta::alone più scuro al centro pasta dal giallo un poco' carico,Colore della Pasta,Alone più scuro al centro. Pasta dal giallo un poco' carico,Pasta di colore giallo poco carico con alone più scuro al centro.,4,35493,
Colore della Pasta::alone centrale particolarmente rosato bordo più tendente al giallo chiaro,Colore della Pasta,"Alone centrale particolarmente rosato, bordo più tendente al giallo chiaro",Pasta con alone centrale particolarmente rosato e bordo tendente al giallo chiaro.,4,4059,
Colore della Pasta::omogeneamente carico giallo,Colore della Pasta,Omogeneamente carico giallo,"Pasta di colore giallo carico, omogeneamente distribuito.",4,47512,
Colore della Pasta::bello chiaro omogeneo,Colore della Pasta,Bello chiaro omogeneo!,Pasta di colore chiaro e omogeneo.,4,18790,
Colore della Pasta::alone molto evidente,Colore della Pasta,Alone molto evidente,Pasta con alone molto evidente.,4,713,
Colore della Pasta::carico con alone centrale più scuro,Colore della Pasta,Carico con alone centrale più scuro,Pasta di colore carico con alone centrale più scuro.,4,42630,
Colore della Pasta::giallo scarico abbastanza omogeneo,Colore della Pasta,Giallo scarico abbastanza omogeneo,Pasta di colore giallo scarico abbastanza omogeneo.,4,18789,
Colore della Pasta::occhiatura da 1 a 2 5mm nella parte centrale della forma ma frattura di 4 cm,Colore della Pasta,"Occhiatura da 1 a 2,5mm nella parte centrale della forma Ma frattura di 4 cm",NON_DESCRITTO,4,33744,
Colore della Pasta::chiara con leggero alone centrale e verso un piatto,Colore della Pasta,Chiara con leggero alone centrale e verso un piatto,Pasta di colore chiara con leggero alone centrale tendente verso il piatto.,4,15424,
Colore della Pasta::intenso con alone leggero,Colore della Pasta,Intenso con alone leggero,Pasta di colore intenso con leggero alone.,4,12986,
Colore della Pasta::alone centrale rosato e un paio di punti neri dati da sporcizia( ),Colore della Pasta,Alone centrale rosato e un paio di punti neri dati da sporcizia(?),Pasta con alone centrale rosato e piccole macchie scure.,4,1295,
Colore della Pasta::aree di colore diverso,Colore della Pasta,Aree di colore diverso,Pasta con aree di colore diverso.,4,41129,
Colore della Pasta::molto carico grigiastro con ragionevoli scuro e chiazza allungata rodata sotto 1 piatto di 10 15 cm,Colore della Pasta,Molto carico grigiastro con ragionevoli scuro e chiazza allungata rodata sotto 1 piatto di 10 15 cm,Pasta di colore molto carico grigiastro con aree scure e una chiazza allungata nella zona sottostante il piatto.,4,5601,
Colore della Pasta::giallo un poco' carico e con zone rosa,Colore della Pasta,Giallo un poco' carico e con zone rosa,Pasta di colore giallo poco carico con zone rosa.,4,9485,
Colore della Pasta::verde grigio verso la crosta non uniforme tende al carico,Colore della Pasta,Verde grigio verso la crosta non uniforme tende al carico,"Pasta tendente al verde grigio verso la crosta, non uniforme, di colore carico.",4,44270,
Colore della Pasta::alone quasi bianco di 1cm,Colore della Pasta,Alone quasi bianco di 1cm,Pasta con alone quasi bianco.,4,49806,
Colore della Pasta::solo riflessi verdi,Colore della Pasta,"Solo riflessi verdi,,,,",Pasta con riflessi verdastri.,4,5313,
Colore della Pasta::giallo chiaro con una leggera tendenza al grigio verde,Colore della Pasta,"Giallo chiaro, con una leggera tendenza al grigio verde",Pasta di colore giallo chiaro con leggera tendenza al grigio-verde.,4,9484,
Colore della Pasta::giallo paglierino chiaro uniforme,Colore della Pasta,Giallo paglierino chiaro uniforme,Pasta di colore giallo paglierino chiaro uniforme.,4,20599,
Colore della Pasta::base paglierino appena più carico al centro,Colore della Pasta,"Base paglierino, appena più carico al centro.","Pasta di colore paglierino, appena più carico al centro.",4,31888,
Colore della Pasta::giallo abbastanza omogeneo lieve alone centrale,Colore della Pasta,Giallo abbastanza omogeneo lieve alone centrale,Pasta di colore giallo abbastanza omogeneo con leggero alone centrale.,4,41133,
Colore della Pasta::omogeneo ma eccessivamente carico,Colore della Pasta,Omogeneo ma eccessivamente carico,Pasta di colore omogeneo ma eccessivamente carico.,4,27838,
Colore della Pasta::alone leggero on corona rodata e una macchia rosata,Colore della Pasta,Alone leggero on corona rodata e una macchia rosata,Pasta con leggero alone in corona rosata e macchia rosata.,4,5832,
Colore della Pasta::una chiazza leggermente più carica in centro,Colore della Pasta,Una chiazza leggermente più carica in centro,Pasta con una chiazza leggermente più carica al centro.,4,24209,
Colore della Pasta::macchie rosa visibili,Colore della Pasta,Macchie rosa visibili,Pasta con macchie rosa visibili.,4,31817,
Colore della Pasta::aree grigiastro sotto i piatti,Colore della Pasta,Aree grigiastro sotto i piatti,Pasta con aree grigiastre sotto i piatti.,4,1021,
Colore della Pasta::grigiastro con evidente alone nocciola al centro,Colore della Pasta,Grigiastro con evidente alone nocciola al centro,Pasta grigiastra con evidente alone nocciola al centro.,4,30761,
Colore della Pasta::molto scuro,Colore della Pasta,Molto scuro,Pasta di colore molto scuro.,4,20227,
Colore della Pasta::colorazione chiara leggermente più carica al centro,Colore della Pasta,Colorazione chiara leggermente più carica al centro,"Pasta di colore chiaro, leggermente più carica al centro.",4,13190,
Colore della Pasta::qualche sfumatura verde,Colore della Pasta,Qualche sfumatura verde,Pasta con qualche sfumatura verdognola.,4,315,
Colore della Pasta::leggero alone colore tendente al chiaro,Colore della Pasta,Leggero alone colore tendente al chiaro,Pasta con leggero alone e colore tendente al chiaro.,4,42491,
Colore della Pasta::giallo chiaro leggermente più carico in centro,Colore della Pasta,Giallo chiaro leggermente più carico in centro,Pasta di colore giallo chiaro leggermente più carico al centro.,4,42629,
Colore della Pasta::molto più chiaro verso gli scalzi,Colore della Pasta,Molto più chiaro verso gli scalzi,Pasta più chiara verso gli scalzi.,4,44685,
Colore della Pasta::aloni nella zona occhiata evidenziati da frattura strana,Colore della Pasta,Aloni nella zona occhiata evidenziati da frattura strana,Pasta con aloni nella zona occhiata evidenziati dalla frattura.,4,5986,
Colore della Pasta::omogenea c0n giallo medio chiaro,Colore della Pasta,Omogenea c0n giallo medio chiaro,"Pasta di colore giallo medio chiaro, omogenea.",4,18482,
Colore della Pasta::più chiaro ai bordi 1 macchia rosa,Colore della Pasta,Più chiaro ai bordi. 1 macchia rosa?,Pasta più chiara ai bordi con una macchia rosata.,4,11232,
Colore della Pasta::paglierino più carico al centro,Colore della Pasta,Paglierino più carico al centro,Pasta paglierina con colore più carico al centro.,4,16867,
Colore della Pasta::giallo carico al centro,Colore della Pasta,Giallo carico al centro,Pasta di colore giallo carico al centro.,4,27902,
Colore della Pasta::giallo carico con zone presso gli scalzi più chiare,Colore della Pasta,Giallo carico con zone presso gli scalzi più chiare,Pasta di colore giallo carico con zone presso gli scalzi più chiare.,4,21877,
Colore della Pasta::più chiaro sotto uno scalzo leggero alone,Colore della Pasta,"Più chiaro sotto uno scalzo, leggero alone","Pasta più chiara nella zona sottostante uno scalzo, con leggero alone.",4,25652,
Colore della Pasta::decisamente carico al centro,Colore della Pasta,Decisamente carico al centro,Pasta di colore decisamente carico al centro.,4,32271,
Colore della Pasta::non molto omogeneo più carico al centro,Colore della Pasta,"Non molto Omogeneo, più carico al centro","Pasta con colore non molto omogeneo, più carico al centro.",4,35497,
Colore della Pasta::evidente alone centrale più scuro fascia rosata su un lato,Colore della Pasta,"Evidente alone centrale più scuro, fascia rosata su un lato",Pasta con evidente alone centrale più scuro e fascia rosata su un lato.,4,42910,
Colore della Pasta::chiaro macchie rosa,Colore della Pasta,Chiaro macchie rosa,Pasta di colore chiaro con macchie rosate.,4,5995,
Colore della Pasta::carico con fascia più chiara sotto un piatto,Colore della Pasta,Carico con fascia più chiara sotto un piatto,Pasta di colore carico con fascia più chiara sotto la superficie.,4,25569,
Colore della Pasta::chiaro ma non omogeneo,Colore della Pasta,Chiaro ma non omogeneo,Pasta di colore chiaro ma non omogeneo.,4,5913,
Colore della Pasta::anche riflessi rosati,Colore della Pasta,Anche riflessi rosati,Pasta con riflessi rosati.,4,3285,
Colore della Pasta::bella tonalità con giallo chiaro,Colore della Pasta,Bella tonalità con giallo chiaro,Pasta di tonalità gialla chiara.,4,35618,
Colore della Pasta::giallo carico più scuro al centro,Colore della Pasta,Giallo carico Più scuro al centro,"Pasta di colore giallo carico, più scura al centro.",8,21884,
Colore della Pasta::enorme macchia rosa vs un piatto alone centrale scuro solo ai lati verso i piatti un colore tendente al chiaro,Colore della Pasta,Enorme macchia rosa vs un piatto alone centrale scuro solo ai lati verso i piatti un colore tendente al chiaro,"Pasta con enorme macchia rosata, alone centrale scuro ai lati e colore tendente al chiaro nel resto della frattura.",4,42911,
Colore della Pasta::chiara con leggero alone centrale,Colore della Pasta,Chiara con leggero alone centrale,Pasta di colore chiaro con leggero alone centrale.,6,7380,
Colore della Pasta::paglierino chiaro con alone grigiastro,Colore della Pasta,Paglierino chiaro con alone grigiastro,Pasta paglierina chiara con alone grigiastro.,4,18946,
Colore della Pasta::omogenea paglierino carico con riflesso verdognolo,Colore della Pasta,Omogenea paglierino carico con riflesso verdognolo,Pasta di colore paglierino carico omogeneo con riflesso verdognolo.,4,5996,
Colore della Pasta::abbastanza omogeneo più carico al centro qualche alone rosa,Colore della Pasta,"Abbastanza omogeneo, più carico al centro, qualche alone rosa","Pasta di colore abbastanza omogeneo, più carico al centro, con qualche alone rosato.",2,46366,
Colore della Pasta::paglierino carico con velature grige,Colore della Pasta,Paglierino carico con velature grige,Pasta di colore paglierino carico con velature grige.,4,41358,
Colore della Pasta::estremamente carico al centro molto più chiaro in un angolo 3colori,Colore della Pasta,Estremamente carico al centro. Molto più chiaro in un angolo. 3colori,"Pasta di colore estremamente carico al centro, molto più chiara in un angolo.",4,7990,
Colore della Pasta::colore paglierino omogeneo con un aloni verdolino molto leggero,Colore della Pasta,"Colore paglierino omogeneo, con un aloni verdolino molto leggero","Pasta di colore paglierino omogeneo, con leggeri aloni verdolini.",4,47182,
Colore della Pasta::colore bruno quasi nocciola ci sono delle zone rosate,Colore della Pasta,Colore bruno quasi nocciola. Ci sono delle zone rosate,Pasta di colore bruno tendente al nocciola con zone rosate.,4,5606,
Colore della Pasta::giallo paglierino chiaro omogeneo,Colore della Pasta,Giallo paglierino chiaro omogeneo,Pasta di colore giallo paglierino chiaro e omogeneo.,12,20536,
Colore della Pasta::leggero alone e leggerissima macchia rosata,Colore della Pasta,Leggero alone e leggerissima macchia rosata,Pasta con leggero alone e leggerissima macchia rosata.,4,12916,
Colore della Pasta::verso uno scalzo carichissima di colore,Colore della Pasta,"Verso uno scalzo, carichissima di colore",Pasta di colore carico verso uno scalzo.,4,51108,
Colore della Pasta::al centro un poco' troppo carico più chiaro vicino alla crosta,Colore della Pasta,"Al centro un poco' troppo carico, più chiaro vicino alla crosta",Pasta di colore carico al centro e più chiaro verso la crosta.,4,16865,
Colore della Pasta::alone centrale nettamente più scuro,Colore della Pasta,Alone centrale nettamente più scuro,Pasta con alone centrale nettamente più scuro.,4,32275,
Colore della Pasta::evidente alone centrale con fascia sotto un piatto più bianca cristalli piccoli e qualche perla,Colore della Pasta,Evidente alone centrale con fascia sotto un piatto più bianca cristalli piccoli e qualche perla,Pasta con evidente alone centrale e fascia sotto piatto più bianca.,4,9899,
Colore della Pasta::giallo carico scuro,Colore della Pasta,Giallo carico scuro,Pasta di colore giallo carico scuro.,2,46948,
Colore della Pasta::alone rosato localizzato al centro,Colore della Pasta,Alone rosato localizzato al centro,Pasta con alone rosato localizzato al centro.,4,5083,
Colore della Pasta::giallo saturo abbastanza omogeneo,Colore della Pasta,Giallo saturo abbastanza omogeneo,Pasta di colore giallo saturo abbastanza omogeneo.,4,32357,
